id,name,street,adress,pow_teryt,gmina_town,phone,url
point-26938,Bank Spółdzielczy Ziemi Kraśnickiej w Kraśniku Oddział w Dzierzkowicach,Rynek 83,23-251 Dzierzkowice,0607,dzierzkowice,Tel: 81 822-10-10,bskrasnik.pl
point-26937,Bank Spółdzielczy Ziemi Kraśnickiej w Kraśniku Ekspozytura nr 3 w Kraśniku,ul. Ks. Zielińskiego 1,23-210 Kraśnik,0607,dzierzkowice,Tel: 81 826-09-22,bskrasnik.pl
point-26943,Bank Spółdzielczy Ziemi Kraśnickiej w Kraśniku Oddział w Urzędowie,ul. Partyzantów 1,23-250 Urzędów,0607,dzierzkowice,Tel: 81 822-50-13,bskrasnik.pl
point-26955,Bank Spółdzielczy Ziemi Kraśnickiej w Kraśniku Ekspozytura Nr 1 w Kraśniku,Al. Niepodległości 25E,23-204 Kraśnik,0607,dzierzkowice,Tel: 81 825-45-78,bskrasnik.pl
