id,name,street,adress,pow_teryt,gmina_town,phone,url
point-26693,Bank Spółdzielczy w Szczytnie Filia nr 2 w Szczytnie,Plac Juranda 3,12-100 Szczytno,2817,szczytno,Tel: 89 642-61-47,bsszczytno.pl
point-26691,Bank Spółdzielczy w Szczytnie Filia nr 1 w Szczytnie,ul. Polska 49,12-100 Szczytno,2817,szczytno,Tel: 89 642-61-69,bsszczytno.pl
point-24702,Bank Spółdzielczy w Szczytnie,ul. Łomżyńska 20,12-100 Szczytno,2817,szczytno,Tel: 89 624-23-09,bsszczytno.pl
point-26694,Bank Spółdzielczy w Szczytnie Oddział w Szczytnie,ul. Łomżyńska 20,12-100 Szczytno,2817,szczytno,Tel: 89 642-61-07,bsszczytno.pl
