id,name,street,adress,pow_teryt,gmina_town,phone,url
point-25776,Bank Spółdzielczy w Izbicy Oddział Sadowa w Zamościu,ul. Sadowa 6,22-400 Zamość,0664,zamosc,Tel: 84 638-83-00,bsizbica.pl
point-25771,Bank Spółdzielczy w Izbicy Oddział w Zamościu,ul. Piłsudskiego 31,22-400 Zamość,0664,zamosc,Tel: 84 627-91-62,bsizbica.pl
point-27072,Powiatowy Bank Spółdzielczy w Zamościu,ul. Partyzantów 3A,22-400 Zamość,0664,zamosc,Tel: 84 638-14-87,pbs.zamosc.pl
point-27082,Powiatowy Bank Spółdzielczy w Zamościu Oddział w Zamościu,ul. Partyzantów 3A,22-400 Zamość,0664,zamosc,Tel: 84 639-13-44,pbs.zamosc.pl
point-26672,Bank Spółdzielczy w Szczebrzeszynie Punkt Kasowy w Zamościu,ul. Kilińskiego 82,22-400 Zamość,0664,zamosc,Tel: 84 638-07-20,bsszczebrzeszyn.pl
