id,name,street,adress,pow_teryt,gmina_town,phone,url
point-25459,Bank Spółdzielczy w Andrespolu Oddział w Nowosolnej,Rynek Nowosolna 1,92-703 Łódź,1006,nowosolna,Tel: 42 677-18-25,bs-andrespol.pl
point-25461,"Bank Spółdzielczy w Andrespolu Filia w Łodzi  - ""Zjazdowa""",ul. Zjazdowa,91-610 Łódź,1006,nowosolna,Tel: 42 617-24-35,bs-andrespol.pl
point-26586,Bank Spółdzielczy w Skierniewicach Punkt Obsługi Klienta w Brzezinach,ul. Staszica 9,95-060 Brzeziny,1006,nowosolna,Tel: 46 832-40-21,bsskierniewice.pl
