id,name,street,adress,pow_teryt,gmina_town,phone,url
point-26799,Bank Spółdzielczy w Węgorzewie Oddział Mrągowo,ul. Brzozowa 16,11-700 Mrągowo,2810,sorkwity,Tel: 89 741-86-90,bswegorzewo.pl
point-26236,Bank Spółdzielczy w Mrągowie Filia nr 2 w Mrągowie,ul. Piaskowa 4A/3A,11-700 Mrągowo,2810,sorkwity,Tel: 89 741-76-04,bsmragowo.pl
point-26234,Bank Spółdzielczy w Mrągowie Filia nr 1 w Mrągowie,ul. Królewiecka 3/3,11-700 Mrągowo,2810,sorkwity,Tel: 89 741-76-03,bsmragowo.pl
point-24252,Bank Spółdzielczy w Mrągowie,ul. Królewiecka 53,11-700 Mrągowo,2810,sorkwity,Tel: 89 741-76-06,bsmragowo.pl
point-26687,Bank Spółdzielczy w Szczytnie Oddział w Biskupcu,ul. Pionierów 6,11-300 Biskupiec,2810,sorkwity,Tel: 89 642-62-10,bsszczytno.pl
