id,name,street,adress,pow_teryt,gmina_town,phone,url
point-26137,Łącki Bank Spółdzielczy Punkt Obsługi Klienta w Krakowie,ul. Szlak 65,31-153 Kraków,1261,krakow,Tel: 18 545-04-06,bslacko.pl
point-10080,Bank Polskiej Spółdzielczości,Tadeusza Kościuszki 53,30-114 Kraków,1261,krakow,Tel: 12 618 17 00,bankbps.pl
point-27005,Nadwiślański Bank Spółdzielczy w Solcu-Zdroju Oddział w Krakowie,ul. Bajeczna 2B/4,31-566 Kraków,1261,krakow,Tel: 12 414-00-00,nbsbank.pl
point-26244,Bank Spółdzielczy w Mszanie Dolnej Punkt Obsługi Klienta w Krakowie,ul. Wielicka 57/4,35-552 Kraków,1261,krakow,Tel: 12 261-15-50,bsmszana.pl
point-26634,Nadsański Bank Spółdzielczy Oddział w Krakowie,ul. Stawowa 10,31-346 Kraków,1261,krakow,Tel: 12 446-92-01,sanbank.pl
point-26076,Bank Spółdzielczy w Limanowej Oddział w Krakowie,ul. Kamieńskiego 47,30-644 Kraków,1261,krakow,Tel: 12 357-77-77,bs.limanowa.pl
point-26570,Bank Spółdzielczy w Skawinie Filia nr 5 w Zielonkach,ul. Krakowskie Przedmieście 114,32-087 Zielonki,1261,krakow,Tel: 12 665-03-00,bs-skawina.com.pl
point-26800,Małopolski Bank Spółdzielczy Oddział w Krakowie,ul. Wysłouchów 4,30-611 Kraków,1261,krakow,Tel: 12 654-56-16,mbsw.pl
point-26812,Małopolski Bank Spółdzielczy Filia w Krakowie,os. Hutnicze 1/4,30-917 Kraków,1261,krakow,Tel: 12 452-00-51,mbsw.pl
point-24816,Małopolski Bank Spółdzielczy,ul. Kilińskiego 2,32-020 Wieliczka,1261,krakow,Tel: 12 278-14-66,mbsw.pl
point-26803,Małopolski Bank Spółdzielczy Oddział w Wieliczce,ul. Kilińskiego 2,32-020 Wieliczka,1261,krakow,Tel: 12 278-13-95,mbsw.pl
point-26806,Małopolski Bank Spółdzielczy Filia nr 1 w Wieliczce,Pl. Kościuszki 1,32-020 Wieliczka,1261,krakow,Tel: 12 289-01-65,mbsw.pl
point-26811,Małopolski Bank Spółdzielczy Filia w Wieliczce,ul. J.Słowackiego 29,32-020 Wieliczka,1261,krakow,,mbsw.pl
point-26809,Małopolski Bank Spółdzielczy Filia nr 3 w Wieliczce,ul. Wincetego Pola 4b,32-020 Wieliczka,1261,krakow,Tel: 12 288-33-80,mbsw.pl
point-26568,Bank Spółdzielczy w Skawinie Filia nr 1 w Skawinie,ul. Ogrody 78,32-050 Skawina,1261,krakow,Tel: 12 276-83-89,bs-skawina.com.pl
point-24585,Bank Spółdzielczy w Skawinie,Rynek 19,32-050 Skawina,1261,krakow,Tel: 12 276-38-16,bs-skawina.com.pl
point-26810,Małopolski Bank Spółdzielczy Filia w Węgrzcach Wielkich,Węgrzce Wielkie 266/1,32-002 Węgrzce Wielkie,1261,krakow,Tel: 12 251-11-12,mbsw.pl
point-26569,Bank Spółdzielczy w Skawinie Filia nr 4 w Skawinie,ul. Ogrody 101,32-050 Skawina,1261,krakow,Tel: 12 276-84-50,bs-skawina.com.pl
