id,name,street,adress,pow_teryt,gmina_town,phone,url
point-25799,Bank Spółdzielczy w Jasieńcu Filia w Warce,Plac Czarnieckiego 19,05-660 Warka,1407,grabow nad pilica,Tel: 48 667-34-13,bsjasieniec.pl
point-27191,Bank Spółdzielczy w Piasecznie Filia w Warce,ul. Długa 16B,05-660 Warka,1407,grabow nad pilica,Tel: 48 667-32-89,psbank.pl
point-27187,Bank Spółdzielczy w Piasecznie Oddział w Magnuszewie,ul. Saperów 29,26-910 Magnuszew,1407,grabow nad pilica,Tel: 48 62-17-013,psbank.pl
point-26494,Bank Spółdzielczy Rzemiosła w Radomiu Oddział w Stromcu,ul. Białobrzeska 144,26-804 Stromiec,1407,grabow nad pilica,Tel: 48 619-10-15,bsr.com.pl
