id,name,street,adress,pow_teryt,gmina_town,phone,url
point-26807,Małopolski Bank Spółdzielczy Oddział w Kłaju,Kłaj,32-015 Kłaj,1201,bochnia,Tel: 12 284-22-22,mbsw.pl
point-23599,Bank Spółdzielczy w Brzesku,ul. Kościuszki 3,32-800 Brzesko,1201,bochnia,Tel: 14 686-20-10,bs-brzesko.pl
point-26808,Małopolski Bank Spółdzielczy Filia w Zabierzowie Bocheńskim,Zabierzów Bocheński 53,32-007 Zabierzów Bocheński,1201,bochnia,Tel: 12 250-16-60,mbsw.pl
point-25582,Bank Spółdzielczy w Brzesku Oddział w Gnojniku,Gnojnik 362,32-864 Gnojnik,1201,bochnia,Tel: 14 684-90-10,bs-brzesko.pl
point-26804,Małopolski Bank Spółdzielczy Filia w Niepołomicach,ul. Szeroka 1,32-005 Niepołomice,1201,bochnia,Tel: 12 281-12-79,mbsw.pl
point-26802,Małopolski Bank Spółdzielczy  Oddział w Niepołomicach,ul. Kościuszki 20,32-005 Niepołomice,1201,bochnia,Tel: 12 281-12-20,mbsw.pl
