id,name,street,adress,pow_teryt,gmina_town,phone,url
point-24522,Bank Spółdzielczy w Radzyniu Podlaskim,ul. Ostrowiecka 35,21-300 Radzyń Podlaski,0615,radzyn podlaski,Tel: 83 352-70-58,bsradzyn.pl
point-26504,"Bank Spółdzielczy w Radzyniu Podlaskim Filia ""Zabielska""",ul. Wyszyńskiego 14,21-300 Radzyń Podlaski,0615,radzyn podlaski,Tel: 83 352-76-24,bsradzyn.pl
