id,name,street,adress,pow_teryt,gmina_town,phone,url
point-26714,Bank Spółdzielczy w Świdnicy Punkt Kasowy w Jaworzynie Śląskiej,ul. Polna 2,58-140 Jaworzyna Śląska,0219,swiebodzice,Tel: 74 858-81-11,bsswidnica.pl
point-25825,Bank Spółdzielczy w Jaworze Oddział w Strzegomiu,Rynek 38,58-150 Strzegom,0219,swiebodzice,Tel: 74 855-03-17,bs-jawor.pl
point-24730,Bank Spółdzielczy w Świdnicy,ul. Długa 9,58-100 Świdnica,0219,swiebodzice,Tel: 74 852-22-11,bsswidnica.pl
point-26713,Bank Spółdzielczy w Świdnicy Punkt Obsługi Klienta w Świdnicy,ul. Długa 44,58-100 Świdnica,0219,swiebodzice,Tel: 74 856-86-50,bsswidnica.pl
point-26718,Bank Spółdzielczy w Świdnicy Punkt Obsługi Klienta w Świdnicy,ul. Spółdzielcza 33,58-100 Świdnica,0219,swiebodzice,Tel: 74 851-23-66,bsswidnica.pl
point-26717,Bank Spółdzielczy w Świdnicy Oddział w Żarowie,ul. Armii Krajowej 48,58-130 Żarów,0219,swiebodzice,Tel: 74 858-05-41,bsswidnica.pl
point-25867,Bank Spółdzielczy w Kamiennej Górze Punkt Obsługi Klienta w Czarnym Borze,ul. Główna 18,58-379 Czarny Bór,0219,swiebodzice,Tel: 74 848-38-79,bskamgora.pl
point-25821,Bank Spółdzielczy w Jaworze Oddział w Bolkowie,Rynek - Ratusz 1,59-420 Bolków,0219,swiebodzice,Tel: 75 741-33-22,bs-jawor.pl
