id,name,street,adress,pow_teryt,gmina_town,phone,url
point-25756,Bank Spółdzielczy w Iłowej Punkt Kasowy w Lubsku,ul. Wrocławska 8,68-300 Lubsko,0802,gubin,Tel: 68 372-28-15,bsilowa.pl
point-25755,Bank Spółdzielczy w Iłowej Punkt Kasowy w Jasieniu,ul. XX-lecia 4,68-320 Jasień,0802,gubin,Tel: 68 371-00-13,bsilowa.pl
