id,name,street,adress,pow_teryt,gmina_town,phone,url
point-25501,Bank Spółdzielczy w Będzinie Punkt Kasowy w Dąbrowie Górniczej,ul. Piłsudskiego 34/640,41-303 Dąbrowa Górnicza,2465,dabrowa gornicza,Tel: 32 262-00-12,bsbedzin.pl
point-23512,Bank Spółdzielczy w Będzinie,ul. Modrzejowska 73,42-500 Będzin,2465,dabrowa gornicza,Tel: 32 267-39-05,bsbedzin.pl
point-25498,Bank Spółdzielczy w Będzinie Punkt Kasowy w Będzinie,ul. Zwycięstwa 12,42-500 Będzin,2465,dabrowa gornicza,Tel: 32 267-04-07,bsbedzin.pl
point-10086,Bank Polskiej Spółdzielczości,ul. Swobodna 10,41-200 Sosnowiec,2465,dabrowa gornicza,Tel: 32 368 77 40,bankbps.pl
point-25499,Bank Spółdzielczy w Będzinie Punkt Kasowy w Będzinie,ul. Konopnickiej 2,42-500 Będzin,2465,dabrowa gornicza,Tel: 32 267-00-77,bsbedzin.pl
