id,name,street,adress,pow_teryt,gmina_town,phone,url
point-23879,Bank Spółdzielczy w Kamiennej Górze,ul. Waryńskiego 11,58-400 Kamienna Góra,0207,marciszow,Tel: 75 754-67-00,bskamgora.pl
point-25864,Bank Spółdzielczy w Kamiennej Górze Punkt Kasowy w Kamiennej Górze,ul. Skłodowskiej 12,58-400 Kamienna Góra,0207,marciszow,Tel: 75 742-89-31,bskamgora.pl
point-25821,Bank Spółdzielczy w Jaworze Oddział w Bolkowie,Rynek - Ratusz 1,59-420 Bolków,0207,marciszow,Tel: 75 741-33-22,bs-jawor.pl
point-25867,Bank Spółdzielczy w Kamiennej Górze Punkt Obsługi Klienta w Czarnym Borze,ul. Główna 18,58-379 Czarny Bór,0207,marciszow,Tel: 74 848-38-79,bskamgora.pl
point-27088,Powiatowy Bank Spółdzielczy w Złotoryi Filia w Wojcieszowie,ul. Żeromskiego 3,59-550 Wojcieszów,0207,marciszow,Tel: 75 751-17-50,pbszlotoryja.pl
