id,name,street,adress,pow_teryt,gmina_town,phone,url
point-25036,Podhalański Bank Spółdzielczy w Zakopanem,ul. Kościuszki 2,34-500 Zakopane,3009,koscielec,Tel: 18 201-48-25,bszakopane.pl
point-26015,Pieniński Bank Spółdzielczy Oddział w Zakopanem,ul. Gimnazjalna 3,34-500 Zakopane,3009,koscielec,Tel: 18 200-03-65,bsbank.com.pl
point-25588,Bank Spółdzielczy Ziem Górskich KARPATIA Punkt Kasowy w Murzasichlu,ul. Sądelska 55,34-531 Murzasichle,3009,koscielec,Tel: 18 200-14-26,karpatiabs.pl
point-27022,Podhalański Bank Spółdzielczy w Zakopanem Filia w Kościelisku,ul. Nędzy Kubińca k/181,34-511 Kościelisko,3009,koscielec,Tel: 18 20-00-745,bszakopane.pl
