id,name,street,adress,pow_teryt,gmina_town,phone,url
point-10082,Bank Polskiej Spółdzielczości,ul. Żwirki 2,90-450 Łódź,1061,lodz,Tel: 42 66 44 400,bankbps.pl
point-26593,Bank Spółdzielczy w Skierniewicach Oddział w Łodzi,ul. Narutowicza 59,90-431 Łódź,1061,lodz,Tel: 42 678-58-55,bsskierniewice.pl
point-25453,Bank Spółdzielczy w Aleksandrowie Łódzkim III Filia w Łodzi,ul. Powstańców Wielkopolskich 2,91-043 Łódź,1061,lodz,Tel: 42 257-56-60,bs-aleksandrow.pl
point-26591,Bank Spółdzielczy w Skierniewicach Punkt Obsługi Klienta nr 2 w Łodzi,ul. Dolna 5,91-303 Łódź,1061,lodz,Tel: 42 616-00-73,bsskierniewice.pl
point-25461,"Bank Spółdzielczy w Andrespolu Filia w Łodzi  - ""Zjazdowa""",ul. Zjazdowa,91-610 Łódź,1061,lodz,Tel: 42 617-24-35,bs-andrespol.pl
