id,name,street,adress,pow_teryt,gmina_town,phone,url
point-24374,"Bank Spółdzielczy ""Bank Rolników"" w Opolu",ul. Książąt Opolskich 36a,45-005 Opole,1661,opole,Tel: 77 402-14-42,bs-opole.pl
point-26044,Bank Spółdzielczy w Leśnicy Oddział w Opolu,ul. Damrota 1,45-064 Opole,1661,opole,Tel: 77 453-20-35,bslesnica.pl
point-26357,"Bank Spółdzielczy ""Bank Rolników"" w Opolu Punkt Obsługi Klienta",ul. Chabrów 31,45-221 Opole,1661,opole,Tel: 77 400-80-85,bs-opole.pl
point-10084,Bank Polskiej Spółdzielczości,ul. Światowida 2,45-325 Opole,1661,opole,Tel: 77 42 50 300,bankbps.pl
point-26358,"Bank Spółdzielczy ""Bank Rolników"" w Opolu Punkt Obsługi Klienta",ul. Dambonia 168,45-860 Opole,1661,opole,Tel: 77 402-40-10,bs-opole.pl
point-26179,Bank Spółdzielczy w Łubnianach Punkt Obsługi Klienta nr 3 w Opolu,ul. Fieldorfa 14,45-273 Opole,1661,opole,Tel: 77 402-83-45,bslubniany.pl
point-25657,Bank Spółdzielczy w Dobrzeniu Wielkim Oddział w Opolu,ul. Budowlanych 52,45-124 Opole,1661,opole,Tel: 77 456-48-87,bsdobrzen.pl
point-26180,Bank Spółdzielczy w Łubnianach Punkt Obsługi Klienta nr 4 w Opolu,ul. Cieszyńska 7,45-316 Opole,1661,opole,Tel: 77 402-73-72,bslubniany.pl
point-26356,"Bank Spółdzielczy ""Bank Rolników"" w Opolu Punkt Obsługi Klienta",ul. Niemodlińska 3,46-070 Komprachcice,1661,opole,Tel: 77 464-68-63,bs-opole.pl
