id,name,street,adress,pow_teryt,gmina_town,phone,url
point-26633,Nadsański Bank Spółdzielczy Filia w Nisku,Plac Wolności 4,37-400 Nisko,1812,nisko,Tel: 15 841-40-43,sanbank.pl
point-26730,Bank Spółdzielczy w Tarnobrzegu Oddział w Nisku,ul. Wolności 1,37-400 Nisko,1812,nisko,Tel: 15 841-20-71,bstarnobrzeg.pl
point-26734,Bank Spółdzielczy w Tarnobrzegu Oddział w Nisku Filia w Pysznicy,ul. Wolności 261,37-403 Pysznica,1812,nisko,Tel: 15 841-00-11,bstarnobrzeg.pl
point-26627,Nadsański Bank Spółdzielczy POK w Stalowej Woli - Popiełuszki,ul. Popiełuszki 7,37-450 Stalowa Wola,1812,nisko,Tel: 15 844-72-62,sanbank.pl
point-26628,Nadsański Bank Spółdzielczy POK w Stalowej Woli - KEN,ul. KEN 13,37-450 Stalowa Wola,1812,nisko,Tel: 15 844-75-26,sanbank.pl
point-26629,Nadsański Bank Spółdzielczy POK w Stalowej Woli - Siedlanowskiego,ul. Siedlanowskiego 3,37-450 Stalowa Wola,1812,nisko,Tel: 15 842-19-65,sanbank.pl
point-26630,Nadsański Bank Spółdzielczy POK w Stalowej Woli - Starostwo Powiatowe,ul. Podleśna 15,37-450 Stalowa Wola,1812,nisko,Tel: 15 844-77-05,sanbank.pl
