id,name,street,adress,pow_teryt,gmina_town,phone,url
point-27038,Powiatowy Bank Spółdzielczy w Kędzierzynie-Koźlu Punkt Kasowy w Kędzierzynie-Koźlu,ul. Piotra Skargi 11,47-224 Kędzierzyn-Koźle,1603,kedzierzyn-kozle,Tel: 77 472-38-35,pbskkozle.pl
point-25048,Powiatowy Bank Spółdzielczy w Kędzierzynie-Koźlu,ul. Rynek 6a,47-200 Kędzierzyn-Koźle,1603,kedzierzyn-kozle,Tel: 77 406-11-88,pbskkozle.pl
point-27036,Powiatowy Bank Spółdzielczy w Kędzierzynie-Koźlu Oddział w Kędzierzynie-Koźlu,ul. Rynek 6a,47-200 Kędzierzyn-Koźle,1603,kedzierzyn-kozle,Tel: 77 472-51-50,pbskkozle.pl
point-27039,Powiatowy Bank Spółdzielczy w Kędzierzynie-Koźlu Punkt Kasowy w Kędzierzynie-Koźlu,ul. Wojska Polskiego 19,47-220 Kędzierzyn-Koźle,1603,kedzierzyn-kozle,Tel: 77 472-38-10,pbskkozle.pl
point-27035,Powiatowy Bank Spółdzielczy w Kędzierzynie-Koźlu Punkt Kasowy w Kędzierzynie-Koźlu,ul. Piastowska 40,47-200 Kędzierzyn-Koźle,1603,kedzierzyn-kozle,Tel: 77 472-24-20,pbskkozle.pl
point-27037,Powiatowy Bank Spółdzielczy w Kędzierzynie-Koźlu Filia w Reńskiej Wisi,ul. Raciborska 9,47-208 Reńska Wieś,1603,kedzierzyn-kozle,Tel: 77 472-51-70,pbskkozle.pl
