player,link
Buchalik Michał,https://fantasy.ekstraklasa.org/player/351
Buchanelli Holz Conrado,https://fantasy.ekstraklasa.org/player/1334
Budziłek Łukasz,https://fantasy.ekstraklasa.org/player/159
Budziński Marcin,https://fantasy.ekstraklasa.org/player/17
Bukowski Adrian,https://fantasy.ekstraklasa.org/player/1637
Burman Bartłomiej,https://fantasy.ekstraklasa.org/player/1587
Bursztyn Jakub,https://fantasy.ekstraklasa.org/player/712
Burta Józef,https://fantasy.ekstraklasa.org/player/1731
Błaszczykowski Jakub,https://fantasy.ekstraklasa.org/player/1142
Cebula Marcin,https://fantasy.ekstraklasa.org/player/111
Ceesay Joseph,https://fantasy.ekstraklasa.org/player/1579
Chmiel Sławomir,https://fantasy.ekstraklasa.org/player/1566
Chodyna Kacper,https://fantasy.ekstraklasa.org/player/1360
Cholewiak Mateusz,https://fantasy.ekstraklasa.org/player/851
Chrapek Michał,https://fantasy.ekstraklasa.org/player/171
Chuca Victor,https://fantasy.ekstraklasa.org/player/1307
Cibicki Paweł,https://fantasy.ekstraklasa.org/player/1339
Cichocki Mateusz,https://fantasy.ekstraklasa.org/player/950
Cielemęcki Radosław,https://fantasy.ekstraklasa.org/player/1402
Ciepiela Bartłomiej,https://fantasy.ekstraklasa.org/player/1581
Cierpka Adrian,https://fantasy.ekstraklasa.org/player/1667
Corryn Milan,https://fantasy.ekstraklasa.org/player/1736
Crnomarković Đorđe,https://fantasy.ekstraklasa.org/player/1208
Czarnowski Patryk,https://fantasy.ekstraklasa.org/player/1657
Czerwiński Alan,https://fantasy.ekstraklasa.org/player/698
Czerwiński Jakub,https://fantasy.ekstraklasa.org/player/256
Czorbadżijski Bożidar,https://fantasy.ekstraklasa.org/player/1560
Czyż Szymon,https://fantasy.ekstraklasa.org/player/1737
Czyżycki Mateusz,https://fantasy.ekstraklasa.org/player/1457
Dadok Robert,https://fantasy.ekstraklasa.org/player/1444
de Amo Jonathan,https://fantasy.ekstraklasa.org/player/926
Diabaté Bassekou,https://fantasy.ekstraklasa.org/player/1759
Diané Morimakan,https://fantasy.ekstraklasa.org/player/1687
Dimun Milan,https://fantasy.ekstraklasa.org/player/21
Domański Maciej,https://fantasy.ekstraklasa.org/player/1263
Douglas Barry,https://fantasy.ekstraklasa.org/player/1711
Drapiński Igor,https://fantasy.ekstraklasa.org/player/1747
Drygas Kamil,https://fantasy.ekstraklasa.org/player/269
Duda Kacper,https://fantasy.ekstraklasa.org/player/1494
Duda Kamil,https://fantasy.ekstraklasa.org/player/1664
Dudek Mateusz,https://fantasy.ekstraklasa.org/player/1433
Dudziński Daniel,https://fantasy.ekstraklasa.org/player/1283
Durmuş İlkay,https://fantasy.ekstraklasa.org/player/1718
Duszkiewicz Kamil,https://fantasy.ekstraklasa.org/player/1760
Dytiatjew Ołeksij,https://fantasy.ekstraklasa.org/player/740
Dziedzic Adrian,https://fantasy.ekstraklasa.org/player/1774
Dziekoński Xavier,https://fantasy.ekstraklasa.org/player/1400
Dziwniel Daniel,https://fantasy.ekstraklasa.org/player/386
Dąbrowski Damian,https://fantasy.ekstraklasa.org/player/20
Długosz Wiktor,https://fantasy.ekstraklasa.org/player/860
El Mahdioui Aschraf,https://fantasy.ekstraklasa.org/player/1740
Emreli Mehir,https://fantasy.ekstraklasa.org/player/1725
Evangélou Stéfanos,https://fantasy.ekstraklasa.org/player/1558
Expósito Erik,https://fantasy.ekstraklasa.org/player/1276
Ferreira Júnior Rivaldo,https://fantasy.ekstraklasa.org/player/1518
Ferreira Vinícius,https://fantasy.ekstraklasa.org/player/1083
Fiedosewicz Nikodem,https://fantasy.ekstraklasa.org/player/1458
Flis Marcin,https://fantasy.ekstraklasa.org/player/239
Fornalczyk Mariusz,https://fantasy.ekstraklasa.org/player/1529
Fortes Amâncio,https://fantasy.ekstraklasa.org/player/1678
Frydrych Michal,https://fantasy.ekstraklasa.org/player/1549
Furman Dominik,https://fantasy.ekstraklasa.org/player/450
Gajos Maciej,https://fantasy.ekstraklasa.org/player/145
Galara Eryk,https://fantasy.ekstraklasa.org/player/1726
García Víctor,https://fantasy.ekstraklasa.org/player/1733
Gardawski Michael,https://fantasy.ekstraklasa.org/player/729
Gendera Maksym,https://fantasy.ekstraklasa.org/player/1605
Gerbowski Fryderyk,https://fantasy.ekstraklasa.org/player/1498
Gergel Roman,https://fantasy.ekstraklasa.org/player/503
Getinger Krystian,https://fantasy.ekstraklasa.org/player/1438
Gliwa Michał,https://fantasy.ekstraklasa.org/player/630
Gol Janusz,https://fantasy.ekstraklasa.org/player/1078
Goliński Michał,https://fantasy.ekstraklasa.org/player/1668
Golla Wojciech,https://fantasy.ekstraklasa.org/player/1019
Gorgon Alexander,https://fantasy.ekstraklasa.org/player/1486
Gostomski Hubert,https://fantasy.ekstraklasa.org/player/1377
Gostomski Maciej,https://fantasy.ekstraklasa.org/player/96
Grabowski Marcin,https://fantasy.ekstraklasa.org/player/1024
Gradecki Bartłomiej,https://fantasy.ekstraklasa.org/player/1509
Granlund Albin,https://fantasy.ekstraklasa.org/player/1585
Grobelny Jędrzej,https://fantasy.ekstraklasa.org/player/1459
Grudziński Mateusz,https://fantasy.ekstraklasa.org/player/1409
Gruszkowski Konrad,https://fantasy.ekstraklasa.org/player/1528
Gryszkiewicz Adrian,https://fantasy.ekstraklasa.org/player/844
Grzesik Jan,https://fantasy.ekstraklasa.org/player/1225
Grzybek Mateusz,https://fantasy.ekstraklasa.org/player/827
Gut Jakub,https://fantasy.ekstraklasa.org/player/1536
Gutkovskis Vladislavs,https://fantasy.ekstraklasa.org/player/346
Góralczyk Jakub,https://fantasy.ekstraklasa.org/player/1568
Gąska Damian,https://fantasy.ekstraklasa.org/player/1018
Głogowski Kamil,https://fantasy.ekstraklasa.org/player/1746
Hajda Wojciech,https://fantasy.ekstraklasa.org/player/807
Hanca Sergiu,https://fantasy.ekstraklasa.org/player/1103
Hanousek Matěj,https://fantasy.ekstraklasa.org/player/1741
Haydary Omran,https://fantasy.ekstraklasa.org/player/1365
Hinokio Koki,https://fantasy.ekstraklasa.org/player/1751
Hloušek Adam,https://fantasy.ekstraklasa.org/player/198
Holúbek Jakub,https://fantasy.ekstraklasa.org/player/1243
Hostikka Santeri,https://fantasy.ekstraklasa.org/player/1095
Hoyo-Kowalski Daniel,https://fantasy.ekstraklasa.org/player/1170
Hołownia Mateusz,https://fantasy.ekstraklasa.org/player/1008
Hrosu Arsen,https://fantasy.ekstraklasa.org/player/1775
Hroššo Lukáš,https://fantasy.ekstraklasa.org/player/1138
Hubínek Michal,https://fantasy.ekstraklasa.org/player/1646
Hugi Dor,https://fantasy.ekstraklasa.org/player/1742
Huk Tomáš,https://fantasy.ekstraklasa.org/player/1241
Hyjek Javier Ajenjo,https://fantasy.ekstraklasa.org/player/1481
Hładun Dominik,https://fantasy.ekstraklasa.org/player/382
Imaz Jesús,https://fantasy.ekstraklasa.org/player/765
Ishak Mikael,https://fantasy.ekstraklasa.org/player/1475
Ivanov Robert,https://fantasy.ekstraklasa.org/player/1535
Jagiełło Aleksander,https://fantasy.ekstraklasa.org/player/683
Jakubik Damian,https://fantasy.ekstraklasa.org/player/37
Jakóbowski Michał,https://fantasy.ekstraklasa.org/player/1460
Janasik Patryk,https://fantasy.ekstraklasa.org/player/1491
Janczy Jakub,https://fantasy.ekstraklasa.org/player/1658
Janiak Kacper,https://fantasy.ekstraklasa.org/player/1647
Janicki Rafał,https://fantasy.ekstraklasa.org/player/166
Jankowski Maciej,https://fantasy.ekstraklasa.org/player/240
Janža Erik,https://fantasy.ekstraklasa.org/player/1192
Jesionek Jakub,https://fantasy.ekstraklasa.org/player/1562
Jimenez Jesus,https://fantasy.ekstraklasa.org/player/987
Jodłowiec Tomasz,https://fantasy.ekstraklasa.org/player/209
Johansson Mattias,https://fantasy.ekstraklasa.org/player/1717
Jovanović Vlastimir,https://fantasy.ekstraklasa.org/player/339
Jugas Jakub,https://fantasy.ekstraklasa.org/player/1696
Juranović Josip,https://fantasy.ekstraklasa.org/player/1479
Jóhannsson Aron,https://fantasy.ekstraklasa.org/player/1617
Jędrzejczyk Artur,https://fantasy.ekstraklasa.org/player/535
Kaczmarski Iwo,https://fantasy.ekstraklasa.org/player/1378
Kafel Bartłomiej,https://fantasy.ekstraklasa.org/player/1185
Kakabadze Otar,https://fantasy.ekstraklasa.org/player/1697
Kalinkowski Bartłomiej,https://fantasy.ekstraklasa.org/player/1230
Kamiński Jakub,https://fantasy.ekstraklasa.org/player/1210
Kamiński Krzysztof,https://fantasy.ekstraklasa.org/player/1358
Kamiński Wiktor,https://fantasy.ekstraklasa.org/player/1763
Kamiński Wojciech,https://fantasy.ekstraklasa.org/player/1244
