id,name,position,value,club,club_abr,club_prev,country,popularity,points_prev,status,round,opponent,time,goals,assists,own_goal,penalty,penalty_won,penalty_given,penalty_lost,penalty_defended,in_stat,yellow_card,red_card,points
1688, Leandro, Pomocnik,"1,70",Radomiak Radom,,Zawisza Rzgow,Brazylia,2, 0,active,1,LPO,0,0,0,0,0,0,0,0,0,,0,0,0
1688, Leandro, Pomocnik,"1,70",Radomiak Radom,,Zawisza Rzgow,Brazylia,2, 0,active,2,LEG,0,0,0,0,0,0,0,0,0,,0,0,0
1688, Leandro, Pomocnik,"1,70",Radomiak Radom,,Zawisza Rzgow,Brazylia,2, 0,active,3,WPL,0,0,0,0,0,0,0,0,0,,0,0,0
1688, Leandro, Pomocnik,"1,70",Radomiak Radom,,Zawisza Rzgow,Brazylia,2, 0,active,4,RCZ,0,0,0,0,0,0,0,0,0,,0,0,0
1688, Leandro, Pomocnik,"1,70",Radomiak Radom,,Zawisza Rzgow,Brazylia,2, 0,active,5,WAR,0,0,0,0,0,0,0,0,0,,0,0,0
1688, Leandro, Pomocnik,"1,70",Radomiak Radom,,Zawisza Rzgow,Brazylia,2, 0,active,6,LGD,0,0,0,0,0,0,0,0,0,,0,0,0
1688, Leandro, Pomocnik,"1,70",Radomiak Radom,,Zawisza Rzgow,Brazylia,2, 0,active,7,POG,0,0,0,0,0,0,0,0,0,,0,0,0
1688, Leandro, Pomocnik,"1,70",Radomiak Radom,,Zawisza Rzgow,Brazylia,2, 0,active,8,SLA,0,0,0,0,0,0,0,0,0,,0,0,0
1688, Leandro, Pomocnik,"1,70",Radomiak Radom,,Zawisza Rzgow,Brazylia,2, 0,active,9,STM,0,0,0,0,0,0,0,0,0,,0,0,0
1688, Leandro, Pomocnik,"1,70",Radomiak Radom,,Zawisza Rzgow,Brazylia,2, 0,active,10,BBT,0,0,0,0,0,0,0,0,0,,0,0,0
1688, Leandro, Pomocnik,"1,70",Radomiak Radom,,Zawisza Rzgow,Brazylia,2, 0,active,11,JAG,0,0,0,0,0,0,0,0,0,,0,0,0
1688, Leandro, Pomocnik,"1,70",Radomiak Radom,,Zawisza Rzgow,Brazylia,2, 0,active,12,GKL,0,0,0,0,0,0,0,0,0,,0,0,0
1688, Leandro, Pomocnik,"1,70",Radomiak Radom,,Zawisza Rzgow,Brazylia,2, 0,active,13,CRA,0,0,0,0,0,0,0,0,0,,0,0,0
1688, Leandro, Pomocnik,"1,70",Radomiak Radom,,Zawisza Rzgow,Brazylia,2, 0,active,14,GOR,0,0,0,0,0,0,0,0,0,,0,0,0
1688, Leandro, Pomocnik,"1,70",Radomiak Radom,,Zawisza Rzgow,Brazylia,2, 0,active,15,ZAG,0,0,0,0,0,0,0,0,0,,0,0,0
1688, Leandro, Pomocnik,"1,70",Radomiak Radom,,Zawisza Rzgow,Brazylia,2, 0,active,16,WIS,0,0,0,0,0,0,0,0,0,,0,0,0
1688, Leandro, Pomocnik,"1,70",Radomiak Radom,,Zawisza Rzgow,Brazylia,2, 0,active,17,PIA,0,0,0,0,0,0,0,0,0,,0,0,0
1688, Leandro, Pomocnik,"1,70",Radomiak Radom,,Zawisza Rzgow,Brazylia,2, 0,active,18,LPO,0,0,0,0,0,0,0,0,0,,0,0,0
1688, Leandro, Pomocnik,"1,70",Radomiak Radom,,Zawisza Rzgow,Brazylia,2, 0,active,19,LEG,0,0,0,0,0,0,0,0,0,,0,0,0
39, Leandro, Obronca,"1,70",Gornik Leczna,,Stal Mielec,Brazylia,4, ,active,1,CRA,0,0,0,0,0,0,0,0,0,,0,0,0
39, Leandro, Obronca,"1,70",Gornik Leczna,,Stal Mielec,Brazylia,4, ,active,2,ZAG,0,0,0,0,0,0,0,0,0,,0,0,0
39, Leandro, Obronca,"1,70",Gornik Leczna,,Stal Mielec,Brazylia,4, ,active,3,WAR,0,0,0,0,0,0,0,0,0,,0,0,0
39, Leandro, Obronca,"1,70",Gornik Leczna,,Stal Mielec,Brazylia,4, ,active,4,SLA,0,0,0,0,0,0,0,0,0,,0,0,0
39, Leandro, Obronca,"1,70",Gornik Leczna,,Stal Mielec,Brazylia,4, ,active,5,WIS,0,0,0,0,0,0,0,0,0,,0,0,0
39, Leandro, Obronca,"1,70",Gornik Leczna,,Stal Mielec,Brazylia,4, ,active,6,STM,0,0,0,0,0,0,0,0,0,,0,0,0
39, Leandro, Obronca,"1,70",Gornik Leczna,,Stal Mielec,Brazylia,4, ,active,7,WPL,0,0,0,0,0,0,0,0,0,,0,0,0
39, Leandro, Obronca,"1,70",Gornik Leczna,,Stal Mielec,Brazylia,4, ,active,8,LEG,0,0,0,0,0,0,0,0,0,,0,0,0
39, Leandro, Obronca,"1,70",Gornik Leczna,,Stal Mielec,Brazylia,4, ,active,9,LGD,0,0,0,0,0,0,0,0,0,,0,0,0
39, Leandro, Obronca,"1,70",Gornik Leczna,,Stal Mielec,Brazylia,4, ,active,10,POG,0,0,0,0,0,0,0,0,0,,0,0,0
39, Leandro, Obronca,"1,70",Gornik Leczna,,Stal Mielec,Brazylia,4, ,active,11,PIA,0,0,0,0,0,0,0,0,0,,0,0,0
39, Leandro, Obronca,"1,70",Gornik Leczna,,Stal Mielec,Brazylia,4, ,active,12,RAD,0,0,0,0,0,0,0,0,0,,0,0,0
39, Leandro, Obronca,"1,70",Gornik Leczna,,Stal Mielec,Brazylia,4, ,active,13,RCZ,0,0,0,0,0,0,0,0,0,,0,0,0
