id,name,position,value,club,club_abr,club_prev,country,popularity,status,round,opponent,time,goals,assists,own_goal,penalty,penalty_won,penalty_given,penalty_lost,penalty_defended,yellow_card,red_card,points
1246,Radoslaw Adamski, Obronca,"1,40",Apklan Resovia,,Polonia Przemysl,Polska,1,active,16,CHR,77,0,0,0,0,0,0,0,0,0,0,1
1246,Radoslaw Adamski, Obronca,"1,40",Apklan Resovia,,Polonia Przemysl,Polska,1,active,17,JAS,93,1,0,0,0,0,0,0,0,0,0,7
1007,Rafal Adamski, Napastnik,"0,60",Miedz Legnica,,Lechia Dzierzoniow,Polska,0,out of club,1,SAN,0,0,0,0,0,0,0,0,0,0,0,0
1007,Rafal Adamski, Napastnik,"0,60",Miedz Legnica,,Lechia Dzierzoniow,Polska,0,out of club,2,BEL,0,0,0,0,0,0,0,0,0,0,0,0
1007,Rafal Adamski, Napastnik,"0,60",Miedz Legnica,,Lechia Dzierzoniow,Polska,0,out of club,3,RES,0,0,0,0,0,0,0,0,0,0,0,0
1007,Rafal Adamski, Napastnik,"0,60",Miedz Legnica,,Lechia Dzierzoniow,Polska,0,out of club,4,ARK,0,0,0,0,0,0,0,0,0,0,0,0
1007,Rafal Adamski, Napastnik,"0,60",Miedz Legnica,,Lechia Dzierzoniow,Polska,0,out of club,5,KOR,0,0,0,0,0,0,0,0,0,0,0,0
1007,Rafal Adamski, Napastnik,"0,60",Miedz Legnica,,Lechia Dzierzoniow,Polska,0,out of club,6,RAD,0,0,0,0,0,0,0,0,0,0,0,0
1007,Rafal Adamski, Napastnik,"0,60",Miedz Legnica,,Lechia Dzierzoniow,Polska,0,out of club,7,CHR,0,0,0,0,0,0,0,0,0,0,0,0
1007,Rafal Adamski, Napastnik,"0,60",Miedz Legnica,,Lechia Dzierzoniow,Polska,0,out of club,8,JAS,0,0,0,0,0,0,0,0,0,0,0,0
1007,Rafal Adamski, Napastnik,"0,60",Miedz Legnica,,Lechia Dzierzoniow,Polska,0,out of club,9,PUN,0,0,0,0,0,0,0,0,0,0,0,0
1007,Rafal Adamski, Napastnik,"0,60",Miedz Legnica,,Lechia Dzierzoniow,Polska,0,out of club,10,GKL,0,0,0,0,0,0,0,0,0,0,0,0
1007,Rafal Adamski, Napastnik,"0,60",Miedz Legnica,,Lechia Dzierzoniow,Polska,0,out of club,11,WID,0,0,0,0,0,0,0,0,0,0,0,0
1007,Rafal Adamski, Napastnik,"0,60",Miedz Legnica,,Lechia Dzierzoniow,Polska,0,out of club,12,BBT,0,0,0,0,0,0,0,0,0,0,0,0
1007,Rafal Adamski, Napastnik,"0,60",Miedz Legnica,,Lechia Dzierzoniow,Polska,0,out of club,13,TYC,0,0,0,0,0,0,0,0,0,0,0,0
1007,Rafal Adamski, Napastnik,"0,60",Miedz Legnica,,Lechia Dzierzoniow,Polska,0,out of club,14,ODR,0,0,0,0,0,0,0,0,0,0,0,0
1007,Rafal Adamski, Napastnik,"0,60",Miedz Legnica,,Lechia Dzierzoniow,Polska,0,out of club,15,KS,0,0,0,0,0,0,0,0,0,0,0,0
1007,Rafal Adamski, Napastnik,"0,60",Miedz Legnica,,Lechia Dzierzoniow,Polska,0,out of club,16,STO,0,0,0,0,0,0,0,0,0,0,0,0
1007,Rafal Adamski, Napastnik,"0,60",Miedz Legnica,,Lechia Dzierzoniow,Polska,0,out of club,17,ZAG,0,0,0,0,0,0,0,0,0,0,0,0
