id,name,position,club,value,points
625,Damir Sovsic,3,15,1.8,40
626,Maciej Gostomski,1,8,1.5,62
627,Jacek Kielb,3,9,1.9,52
628,Marek Mroz,3,6,1.4,51
632,Juliusz Letniowski,3,2,2.0,92
654,Serhij Krykun,3,8,1.4,54
665,Grzegorz Drazik,1,6,1.6,9
668,Dawid Gojny,2,18,1.8,46
670,Dominik Kulawiak,2,6,1.6,18
672,Kamil Szymura,2,7,1.9,34
674,Farid Ali,3,6,2.1,55
675,Tomasz Dzida,3,6,1.2,0
679,Wojciech Laski,3,6,1.3,1
683,Patryk Skorecki,3,6,1.4,21
684,Dominik Szczech,3,6,1.0,2
685,Damian Tront,3,11,1.8,45
688,Kamil Jadach,4,6,1.7,39
693,Mariusz Pawelek,1,6,1.7,17
695,Daniel Rumin,4,6,1.5,58
696,Kacper Tabis,2,12,1.6,46
703,Dawid Arndt,1,10,1.0,9
706,Lukas Bielak,2,6,1.8,22
707,Jan Grzesik,2,10,2.0,0
708,Kamil Juraszek,2,4,1.7,23
710,Kamil Rozmus,2,8,1.5,4
711,Jan Sobocinski,2,10,2.0,55
713,Patryk Bryla,3,4,1.9,48
718,Maksymilian Rozwandowicz,2,10,1.8,49
721,Maciej Wolski,2,10,1.7,58
723,Jewhen Radionow,4,13,1.9,31
726,Patryk Janasik,2,12,1.6,0
728,Serafin Szota,2,16,1.2,49
730,Sebastian Brylka,3,12,0.8,0
739,Szymon Kuzma,3,15,0.8,0
746,Michal Goral,4,18,1.7,0
758,Mateusz Wypych,2,12,1.4,3
760,Adrian Cierpka,3,8,1.7,59
767,Lukasz Splawski,4,13,1.6,41
772,Przemyslaw Kita,4,17,1.7,0
775,Dawid Witkowski,2,6,1.2,19
778,Krzysztof Janus,3,12,2.1,54
780,Szymon Tokarz,1,15,1.0,2
787,Aron Stasiak,4,8,1.6,27
788,Arkadiusz Najemski,2,5,1.6,13
791,Dawid Flaszka,3,5,1.3,15
792,Mariusz Gabrych,4,15,1.8,0
799,Dominik Budzynski,1,15,1.4,2
801,Maciej Spychala,3,16,1.5,49
805,Milosz Kalahur,2,15,1.6,9
813,Wiktor Zytek,3,13,1.8,63
814,Michal Staniucha,4,7,0.5,0
820,Patrik Misak,3,3,2.1,51
826,Adrian Odyjewski,1,7,1.0,0
828,Kacper Chorazka,1,18,1.4,17
841,Grzegorz Szymusik,2,9,1.6,31
844,Dawid Kalisz,3,3,1.5,0
851,Grzegorz Kuswik,4,16,1.9,23
852,Piotr Zemlo,2,12,1.4,39
853,Przemyslaw Sajdak,3,10,1.5,35
854,Szymon Drewniak,3,2,2.4,50
855,Piotr Wlazlo,3,3,2.5,63
857,Lukasz Budzilek,1,3,1.7,0
858,Krzysztof Iwanicki,2,3,0.5,0
859,Pawel Lezon,3,3,0.8,0
860,Tomasz Matuszewski,3,3,0.7,4
864,Lukasz Moneta,3,7,2.2,46
867,Pawel Zyra,3,3,1.2,57
877,Dominik Polap,3,7,1.5,26
878,Lukasz Sekulski,4,10,2.2,51
879,Dawid Blanik,3,5,1.5,15
883,Damian Hilbrycht,3,5,1.2,12
887,Konrad Nowak,3,12,1.7,47
890,Jakub Apolinarski,3,6,1.4,15
898,Maciej Serbintowicz,3,16,0.5,2
900,Hubert Szramka,4,16,0.5,22
908,Dominik Kakolewski,1,3,1.3,1
912,Adam Wolniewicz,2,6,1.6,-1
915,Maciej Firlej,4,9,1.7,22
918,Jakub Romanowicz,3,10,0.9,1
922,Kamil Ogorzaly,3,15,1.2,43
928,Kamil Mazek,3,2,1.7,31
937,Adam Ratajczyk,3,10,1.9,18
945,Michal Zajac,2,13,0.5,0
947,Maciej Wrobel,3,12,0.5,6
949,Mateusz Kochalski,1,14,1.8,63
951,Michal Grudniewski,2,17,1.7,13
952,Damian Jakubik,2,14,2.0,55
955,Mateusz Lewandowski,2,14,1.9,16
957,Maciej Swidzikowski,2,14,1.7,25
961,Michal Kaput,3,14,1.4,38
963,Mateusz Michalski,3,17,2.1,32
964,Jakub Nowakowski,3,14,0.5,0
