id,name,position,club,value,points,status
1011,Mateusz Gorski,1,13,1.4,7.0,active
1477,Sebastian Gorski,2,13,1.4,0.0,active
67,Marcel Gasior,3,9,1.5,24.0,active
418,Damian Gaska,3,14,2.0,60.0,active
1080,Wojciech Hajda,3,15,1.4,0.0,active
1177,Kacper Halczak,1,13,0.5,0.0,active
1501,Marek Hanousek,3,17,1.5,0.0,active
40,Maksymilian Hebel,3,1,1.5,19.0,active
972,Mateusz Hewelt,1,11,1.6,33.0,active
883,Damian Hilbrycht,4,5,1.2,12.0,active
1083,Koki Hinokio,3,16,1.9,49.0,active
862,Fabian Hiszpanski,3,2,1.5,0.0,active
1478,Ivan Hladik,2,13,1.5,0.0,active
1451,Ruben Hoogenhout,2,11,1.2,2.0,active
1440,Michal Hubinek,3,3,1.7,24.0,active
1335,Kelechukwu Ibe-Torti,4,10,1.5,9.0,active
57,Michal Ilkow-Golab,2,4,1.9,47.0,active
688,Kamil Jadach,3,6,1.7,39.0,active
1145,Aleksander Jagiello,3,8,1.8,0.0,active
1109,Piotr Janczukowicz,4,10,1.5,0.0,active
984,Jakub Janczy,4,3,0.5,0.0,active
1213,Kacper Janiak,3,3,0.9,0.0,active
778,Krzysztof Janus,3,12,2.1,54.0,active
166,Bartosz Jaroch,2,1,1.7,0.0,active
483,Konrad Jalocha,1,7,1.8,53.0,active
553,Vlastimir Jovanovic,3,3,1.8,8.0,active
708,Kamil Juraszek,2,4,1.7,23.0,active
1185,Milosz Jozwiak,4,4,0.5,0.0,active
1363,Kacper Kaczka,3,12,0.5,0.0,active
1474,Mateusz Kaczmarek,3,11,1.5,0.0,active
1294,Daniel Kajzer,1,2,1.9,60.0,active
94,Bartlomiej Kalinkowski,3,8,1.7,47.0,active
844,Dawid Kalisz,3,3,1.5,0.0,active
85,Mateusz Kaminski,2,12,1.5,47.0,active
1442,Jakub Kanclerz,1,16,0.5,1.0,active
961,Michal Kaput,3,14,1.4,38.0,active
366,Filip Karbowy,3,18,1.7,37.0,active
1465,Kamil Kargulewicz,3,7,1.5,0.0,active
515,Meik Karwot,3,14,1.7,28.0,active
356,Arkadiusz Kasperkiewicz,2,2,2.0,57.0,active
600,Bartlomiej Kasprzak,3,15,1.6,41.0,active
1097,Dawid Kasprzyk,4,7,1.2,5.0,active
805,Milosz Kalahur,2,15,1.5,9.0,active
1251,Jakub Kalaska,3,1,0.5,0.0,active
627,Jacek Kielb,3,9,2.0,52.0,active
1211,Bartlomiej Kielbasa,3,1,0.9,3.0,active
772,Przemyslaw Kita,4,17,1.7,0.0,active
1152,Michal Klec,3,13,1.7,26.0,active
393,Adrian Klimczak,2,10,2.1,59.0,active
1439,Jan Klimek,2,3,0.9,0.0,active
1370,Karol Knap,3,13,1.2,10.0,active
823,Rafal Kobryn,2,9,1.5,0.0,active
835,Szymon Kobusinski,4,13,0.9,0.0,active
1366,Gabriel Kobylak,1,13,1.6,41.0,active
949,Mateusz Kochalski,1,14,2.0,63.0,active
1342,Jaka Kolenc,3,4,1.8,40.0,active
1182,Kewin Komar,1,5,0.5,0.0,active
779,Aleksander Komor,2,6,1.6,0.0,active
1374,Wiktor Koptas,1,14,0.5,0.0,active
1235,Igor Korczakowski,3,8,1.5,2.0,active
1280,Kornel Kordas,2,9,1.5,29.0,active
1128,Dawid Kort,3,12,1.6,44.0,active
1393,Nikolas Korzeniecki,3,18,1.0,15.0,active
1264,Lukasz Kosakiewicz,2,17,1.8,47.0,active
1229,Adrian Kostrzewski,1,8,1.4,0.0,active
1151,Konrad Kostrzycki,2,12,1.0,3.0,active
1317,Michal Kot,1,10,0.5,0.0,active
79,Damian Kowalczyk,4,4,1.6,17.0,active
181,Milosz Kozak,3,14,1.8,57.0,active
1111,Maciej Koziara,3,5,0.8,0.0,active
247,Marek Koziol,1,9,1.8,41.0,active
1350,Anatolij Kozlenko,2,7,1.4,0.0,active
1215,Mateusz Kryczka,1,14,1.5,0.0,active
654,Serhij Krykun,3,8,2.0,54.0,active
1295,Kacper Krzepisz,1,2,1.0,0.0,active
1351,Tomasz Krezelok,3,7,0.7,0.0,active
1244,Dawid Kubowicz,2,1,1.5,25.0,active
198,Mateusz Kuchta,1,12,1.7,4.0,active
1252,Michal Kuczalek,3,1,1.5,50.0,active
1199,Vjaceslavs Kudrjavcevs,1,17,1.7,39.0,active
1230,Bartlomiej Kukulowicz,2,8,1.5,12.0,active
670,Dominik Kulawiak,2,6,1.4,18.0,active
288,Dominik Kun,3,17,1.8,31.0,active
1464,Kajetan Kunka,2,5,0.5,0.0,active
1337,Kamil Kuta,3,3,0.5,0.0,active
851,Grzegorz Kuswik,4,16,1.9,23.0,active
1210,Jan Kuzma,3,15,0.5,2.0,active
1447,Hubert Kwolek,4,11,0.5,0.0,active
908,Dominik Kakolewski,1,3,1.3,1.0,active
1388,Emil Klosek,2,18,0.8,0.0,active
1068,Filip Laskowski,3,5,1.2,0.0,active
968,  Leandro,3,14,2.1,61.0,active
524,Mikolaj Lebedynski,4,4,2.0,53.0,active
1437,Mehdi Lehaire,3,11,1.0,14.0,active
1033,Pawel Lenarcik,1,11,1.7,47.0,active
632,Juliusz Letniowski,3,2,3.2,92.0,active
1436,Igor Lewandowski,3,11,0.5,0.0,active
452,Szymon Lewicki,4,7,2.0,42.0,active
1380,Jakub Lesniak,2,15,0.5,0.0,active
859,Pawel Lezon,3,3,0.8,0.0,active
1287,Dawid Lisowski,3,9,1.0,11.0,active
1324,Mieszko Lorenc,3,10,0.9,0.0,active
1141,Tomasz Loska,1,3,2.2,81.0,active
1197,Ruben Lopez Huesca,4,15,1.7,18.0,active
71,Mateusz Machaj,3,4,2.0,29.0,active
1495,Mateusz Machala,2,18,0.7,0.0,active
167,Mariusz Magiera,2,5,1.7,51.0,active
1394,Martim Maia,3,18,1.6,32.0,active
1492,Michal Mak,3,8,1.9,0.0,active
1101,Patryk Makuch,4,11,1.8,54.0,active
55,Adam Makuchowski,1,4,1.0,1.0,active
1318,Arkadiusz Malarz,1,10,2.0,46.0,active
72,Robert Mandrysz,3,4,1.7,33.0,active
1300,Michal Marcjanik,2,2,1.9,40.0,active
1308,Dawid Markiewicz,3,2,0.7,5.0,active
1483,Nemanja Markovic,2,1,1.7,0.0,active
1051,Maciej Mas,4,5,1.3,16.0,active
581,Gabriel Matei,2,8,1.8,0.0,active
1360,Szymon Matuszek,3,11,2.2,69.0,active
1420,Konrad Matuszewski,3,5,1.2,0.0,active
987,Konrad Matuszewski,2,12,1.4,47.0,active
