id,name,position,club,value,points,season
778,Krzysztof Janus,3,12,2.1,57,2019/20 - wiosna
1172,Sebastian Jarosz,3,16,0.5,1,2019/20 - wiosna
483,Konrad Jalocha,1,7,1.8,23,2019/20 - wiosna
553,Vlastimir Jovanovic,3,3,1.8,36,2019/20 - wiosna
708,Kamil Juraszek,2,4,1.7,26,2019/20 - wiosna
1185,Milosz Jozwiak,4,4,0.5,0,2019/20 - wiosna
844,Dawid Kalisz,3,3,1.5,4,2019/20 - wiosna
85,Mateusz Kaminski,2,12,1.5,39,2019/20 - wiosna
1073,Wojciech Kaminski,3,15,1.3,0,2019/20 - wiosna
961,Michal Kaput,3,14,1.4,27,2019/20 - wiosna
366,Filip Karbowy,3,18,1.9,49,2019/20 - wiosna
1147,Filip Karmanski,3,6,0.5,3,2019/20 - wiosna
515,Meik Karwot,3,14,1.8,28,2019/20 - wiosna
600,Bartlomiej Kasprzak,3,15,1.6,12,2019/20 - wiosna
1097,Dawid Kasprzyk,4,7,1.2,10,2019/20 - wiosna
805,Milosz Kalahur,2,15,1.6,2,2019/20 - wiosna
442,Michal Kieca,3,18,1.0,0,2019/20 - wiosna
627,Jacek Kielb,3,9,1.9,0,2019/20 - wiosna
1211,Bartlomiej Kielbasa,3,1,0.9,4,2019/20 - wiosna
772,Przemyslaw Kita,4,17,1.7,0,2019/20 - wiosna
1152,Michal Klec,3,13,1.8,40,2019/20 - wiosna
949,Mateusz Kochalski,1,14,1.8,0,2019/20 - wiosna
1182,Kewin Komar,1,5,0.5,0,2019/20 - wiosna
1128,Dawid Kort,3,12,1.6,2,2019/20 - wiosna
607,Maciej Korzym,4,15,1.7,28,2019/20 - wiosna
1151,Konrad Kostrzycki,2,12,1.0,11,2019/20 - wiosna
1206,Ņikita Kovaļonoks,4,16,1.6,0,2019/20 - wiosna
79,Damian Kowalczyk,4,4,1.6,32,2019/20 - wiosna
181,Milosz Kozak,3,14,2.1,58,2019/20 - wiosna
247,Marek Koziol,1,9,2.0,0,2019/20 - wiosna
1013,Dario Kristo,3,7,1.6,20,2019/20 - wiosna
1215,Mateusz Kryczka,1,14,1.8,-1,2019/20 - wiosna
198,Mateusz Kuchta,1,12,2.0,50,2019/20 - wiosna
1199,Vjaceslavs Kudrjavcevs,1,16,1.8,3,2019/20 - wiosna
670,Dominik Kulawiak,2,6,1.6,23,2019/20 - wiosna
288,Dominik Kun,3,17,1.8,44,2019/20 - wiosna
851,Grzegorz Kuswik,4,16,1.9,0,2019/20 - wiosna
1210,Jan Kuzma,3,15,0.5,5,2019/20 - wiosna
739,Szymon Kuzma,3,15,0.8,3,2019/20 - wiosna
908,Dominik Kakolewski,1,3,1.3,2,2019/20 - wiosna
968,  Leandro,4,14,2.1,18,2019/20 - wiosna
524,Mikolaj Lebedynski,4,4,2.0,47,2019/20 - wiosna
469,Grzegorz Lech,3,16,2.0,13,2019/20 - wiosna
1033,Pawel Lenarcik,1,5,1.7,21,2019/20 - wiosna
955,Mateusz Lewandowski,2,14,1.9,16,2019/20 - wiosna
452,Szymon Lewicki,4,7,2.1,48,2019/20 - wiosna
859,Pawel Lezon,3,3,0.8,0,2019/20 - wiosna
1039,Bartlomiej Lisowski,2,5,0.5,0,2019/20 - wiosna
1191,Skënder Loshi,4,16,1.5,10,2019/20 - wiosna
1141,Tomasz Loska,1,3,1.8,32,2019/20 - wiosna
1197,Ruben Lopez Huesca,4,15,1.7,19,2019/20 - wiosna
71,Mateusz Machaj,3,4,2.0,2,2019/20 - wiosna
167,Mariusz Magiera,2,5,1.6,24,2019/20 - wiosna
1101,Patryk Makuch,3,5,1.6,18,2019/20 - wiosna
55,Adam Makuchowski,1,4,0.5,0,2019/20 - wiosna
72,Robert Mandrysz,3,4,1.7,45,2019/20 - wiosna
1051,Maciej Mas,4,5,0.8,0,2019/20 - wiosna
987,Konrad Matuszewski,2,12,1.2,17,2019/20 - wiosna
860,Tomasz Matuszewski,3,3,0.7,0,2019/20 - wiosna
928,Kamil Mazek,3,2,1.7,0,2019/20 - wiosna
1018,Patryk Malecki,3,18,1.9,34,2019/20 - wiosna
602,Maciej Malkowski,3,15,2.2,28,2019/20 - wiosna
114,Maciej Manka,2,7,2.2,34,2019/20 - wiosna
1216,Damian Michalak,3,5,0.5,0,2019/20 - wiosna
58,Michal Michalec,2,4,1.5,23,2019/20 - wiosna
963,Mateusz Michalski,3,17,2.1,47,2019/20 - wiosna
59,Seweryn Michalski,2,5,1.7,4,2019/20 - wiosna
975,Nemanja Mijuskovic,2,11,2.0,40,2019/20 - wiosna
