id,name,position,value,club,club_abr,club_prev,country,season,time,goals,assists,own_goal,penalty,penalty_won,penalty_given,penalty_lost,penalty_defended,yellow_card,red_card,points
1013,Dario Kristo, Pomocnik,"1,60",GKS Tychy,,Widzew Lodz,Chorwacja,2019/20 - jesien,1392,3,0,0,0,0,0,0,0,5,0,63
1215,Mateusz Kryczka, Bramkarz,"1,80",Radomiak Radom,,Wisla Plock,Polska,2019/20 - wiosna,344,0,0,0,0,0,1,0,0,1,0,-1
654,Serhij Krykun, Pomocnik,"1,40",Gornik Leczna,,Resovia,Ukraina,2018/19 - wiosna,446,2,0,0,0,0,0,0,0,0,0,30
654,Serhij Krykun, Pomocnik,"1,40",Gornik Leczna,,Resovia,Ukraina,2018/19 - jesien,435,0,0,0,0,0,0,0,0,1,0,17
198,Mateusz Kuchta, Bramkarz,"2,00",Odra Opole,,Gornik Zabrze,Polska,2019/20 - wiosna,1328,0,0,0,0,0,0,0,1,1,0,50
198,Mateusz Kuchta, Bramkarz,"2,00",Odra Opole,,Gornik Zabrze,Polska,2019/20 - jesien,180,0,0,0,0,0,0,0,0,0,0,13
198,Mateusz Kuchta, Bramkarz,"2,00",Odra Opole,,Gornik Zabrze,Polska,2018/19 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0
198,Mateusz Kuchta, Bramkarz,"2,00",Odra Opole,,Gornik Zabrze,Polska,2018/19 - jesien,0,0,0,0,0,0,0,0,0,0,0,0
198,Mateusz Kuchta, Bramkarz,"2,00",Odra Opole,,Gornik Zabrze,Polska,2017/18 - wiosna,1080,0,0,0,0,0,0,0,0,1,0,36
1199,Vjaceslavs Kudrjavcevs, Bramkarz,"1,80",Stomil Olsztyn,,FK Ventspils,Lotwa,2019/20 - wiosna,95,0,0,0,0,0,0,0,0,0,0,3
670,Dominik Kulawiak, Obronca,"1,60",GKS Jastrzebie ,,MOSiR Jastrzebie Zdroj,Polska,2019/20 - wiosna,997,0,1,0,0,0,2,0,0,3,0,23
