player,link
Długosz Wiktor,https://fantasy.1liga.org/pl/pl/player/1088
Ebwelle Alain,https://fantasy.1liga.org/pl/pl/player/1375
Eizenchart Bartłomiej,https://fantasy.1liga.org/pl/pl/player/1203
Feret Szymon,https://fantasy.1liga.org/pl/pl/player/1258
Feruga Daniel,https://fantasy.1liga.org/pl/pl/player/400
Filipowicz Paul,https://fantasy.1liga.org/pl/pl/player/1057
Firlej Maciej,https://fantasy.1liga.org/pl/pl/player/915
Flaszka Dawid,https://fantasy.1liga.org/pl/pl/player/791
Fundambu Merveille,https://fantasy.1liga.org/pl/pl/player/1153
Gabrych Mariusz,https://fantasy.1liga.org/pl/pl/player/792
Gajda Łukasz,https://fantasy.1liga.org/pl/pl/player/1343
Gancarczyk Mateusz,https://fantasy.1liga.org/pl/pl/player/261
Gancarczyk Waldemar,https://fantasy.1liga.org/pl/pl/player/262
Garuch Marcin,https://fantasy.1liga.org/pl/pl/player/1209
Geniec Mateusz,https://fantasy.1liga.org/pl/pl/player/1248
Gergel Roman,https://fantasy.1liga.org/pl/pl/player/569
Gilewski Kamil,https://fantasy.1liga.org/pl/pl/player/1376
Gmosiński Dariusz,https://fantasy.1liga.org/pl/pl/player/1334
Gojny Dawid,https://fantasy.1liga.org/pl/pl/player/668
Goliński Michał,https://fantasy.1liga.org/pl/pl/player/1234
Gostomski Maciej,https://fantasy.1liga.org/pl/pl/player/626
Grabowski Maciej,https://fantasy.1liga.org/pl/pl/player/1249
Grabowski Marcin,https://fantasy.1liga.org/pl/pl/player/1142
Gracia Carlos Moros,https://fantasy.1liga.org/pl/pl/player/1321
Gregório Gonçalo,https://fantasy.1liga.org/pl/pl/player/1415
Grobelny Jędrzej,https://fantasy.1liga.org/pl/pl/player/1357
Grudniewski Michał,https://fantasy.1liga.org/pl/pl/player/951
Grudziński Mateusz,https://fantasy.1liga.org/pl/pl/player/1391
Gryszkiewicz Piotr,https://fantasy.1liga.org/pl/pl/player/1323
Grzelak Mikołaj,https://fantasy.1liga.org/pl/pl/player/1037
Grzelak Rafał,https://fantasy.1liga.org/pl/pl/player/540
Grzesik Jan,https://fantasy.1liga.org/pl/pl/player/707
Grzeszczyk Łukasz,https://fantasy.1liga.org/pl/pl/player/120
Grzybek Mateusz,https://fantasy.1liga.org/pl/pl/player/113
Gródecki Filip,https://fantasy.1liga.org/pl/pl/player/1372
Guima Ricardo,https://fantasy.1liga.org/pl/pl/player/1326
Gutowski Konrad,https://fantasy.1liga.org/pl/pl/player/175
Góral Michał,https://fantasy.1liga.org/pl/pl/player/746
Góralczyk Jeremiasz,https://fantasy.1liga.org/pl/pl/player/1347
Górski Jakub,https://fantasy.1liga.org/pl/pl/player/1285
Górski Mateusz,https://fantasy.1liga.org/pl/pl/player/1011
Gąsior Marcel,https://fantasy.1liga.org/pl/pl/player/67
Gąska Damian,https://fantasy.1liga.org/pl/pl/player/418
Hajduk Szymon,https://fantasy.1liga.org/pl/pl/player/1250
Halczak Kacper,https://fantasy.1liga.org/pl/pl/player/1177
Hebel Maksymilian,https://fantasy.1liga.org/pl/pl/player/40
Heredia Carlos,https://fantasy.1liga.org/pl/pl/player/1112
Hewelt Mateusz,https://fantasy.1liga.org/pl/pl/player/972
Hilbrycht Damian,https://fantasy.1liga.org/pl/pl/player/883
Hinokio Koki,https://fantasy.1liga.org/pl/pl/player/1083
Hoogenhout Ruben,https://fantasy.1liga.org/pl/pl/player/1451
Hubínek Michal,https://fantasy.1liga.org/pl/pl/player/1440
Ibe-Torti Kelechukwu,https://fantasy.1liga.org/pl/pl/player/1335
Ilków-Gołąb Michał,https://fantasy.1liga.org/pl/pl/player/57
Iwanicki Krzysztof,https://fantasy.1liga.org/pl/pl/player/858
Jadach Kamil,https://fantasy.1liga.org/pl/pl/player/688
Jakubik Damian,https://fantasy.1liga.org/pl/pl/player/952
Janasik Patryk,https://fantasy.1liga.org/pl/pl/player/726
Janczy Jakub,https://fantasy.1liga.org/pl/pl/player/984
Jankowski Maciej,https://fantasy.1liga.org/pl/pl/player/1305
Janus Krzysztof,https://fantasy.1liga.org/pl/pl/player/778
Jarosz Sebastian,https://fantasy.1liga.org/pl/pl/player/1172
Jałocha Konrad,https://fantasy.1liga.org/pl/pl/player/483
Jovanović Vlastimir,https://fantasy.1liga.org/pl/pl/player/553
Juraszek Kamil,https://fantasy.1liga.org/pl/pl/player/708
Jóźwiak Miłosz,https://fantasy.1liga.org/pl/pl/player/1185
Kaczka Kacper,https://fantasy.1liga.org/pl/pl/player/1363
Kaczmarski Iwo,https://fantasy.1liga.org/pl/pl/player/1286
Kajzer Daniel,https://fantasy.1liga.org/pl/pl/player/1294
Kalinkowski Bartłomiej,https://fantasy.1liga.org/pl/pl/player/94
Kalisz Dawid,https://fantasy.1liga.org/pl/pl/player/844
Kamiński Mateusz,https://fantasy.1liga.org/pl/pl/player/85
Kamiński Wojciech,https://fantasy.1liga.org/pl/pl/player/1073
Kanclerz Jakub,https://fantasy.1liga.org/pl/pl/player/1442
Kantor Mateusz,https://fantasy.1liga.org/pl/pl/player/1243
Kaput Michał,https://fantasy.1liga.org/pl/pl/player/961
