Player;Link;;
Drabik Patryk;https://fantasy.ekstraklasa.org/player/1420;33;1420
Dražić Dejan;https://fantasy.ekstraklasa.org/player/1376;33;1376
Drygas Kamil;https://fantasy.ekstraklasa.org/player/269;33;269
Duda Kacper;https://fantasy.ekstraklasa.org/player/1494;33;1494
Duda Mateusz;https://fantasy.ekstraklasa.org/player/1497;33;1497
Dudek Mateusz;https://fantasy.ekstraklasa.org/player/1433;33;1433
Dudziński Daniel;https://fantasy.ekstraklasa.org/player/1283;33;1283
Dybowski Karol;https://fantasy.ekstraklasa.org/player/789;33;789
Dymerski Filip;https://fantasy.ekstraklasa.org/player/1174;33;1174
Dytiatjew Ołeksij;https://fantasy.ekstraklasa.org/player/740;33;740
Dziekoński Xavier;https://fantasy.ekstraklasa.org/player/1400;33;1400
Dąbrowski Damian;https://fantasy.ekstraklasa.org/player/20;33;20
Evangélou Stéfanos;https://fantasy.ekstraklasa.org/player/1558;33;1558
Expósito Erik;https://fantasy.ekstraklasa.org/player/1276;33;1276
Ferraresso Diego;https://fantasy.ekstraklasa.org/player/479;33;479
Ferreira Júnior Rivaldo;https://fantasy.ekstraklasa.org/player/1518;33;1518
Ferreira Vinícius;https://fantasy.ekstraklasa.org/player/1083;33;1083
Ferreiroa Fernán;https://fantasy.ekstraklasa.org/player/1551;33;1551
Fiedosewicz Nikodem;https://fantasy.ekstraklasa.org/player/1458;33;1458
Figiel Rafał;https://fantasy.ekstraklasa.org/player/1421;33;1421
Fila Karol;https://fantasy.ekstraklasa.org/player/1005;33;1005
Fiolić Ivan;https://fantasy.ekstraklasa.org/player/1356;33;1356
Flis Marcin;https://fantasy.ekstraklasa.org/player/239;33;239
Forenc Konrad;https://fantasy.ekstraklasa.org/player/381;33;381
Fornalczyk Mariusz;https://fantasy.ekstraklasa.org/player/1529;33;1529
Forsell Petteri;https://fantasy.ekstraklasa.org/player/934;33;934
Frelek Dominik;https://fantasy.ekstraklasa.org/player/1530;33;1530
Frydrych Michal;https://fantasy.ekstraklasa.org/player/1549;33;1549
Frączczak Adam;https://fantasy.ekstraklasa.org/player/258;33;258
Gach Kacper;https://fantasy.ekstraklasa.org/player/1414;33;1414
Gajos Maciej;https://fantasy.ekstraklasa.org/player/145;33;145
García Ángel;https://fantasy.ekstraklasa.org/player/1124;33;1124
Gardawski Michael;https://fantasy.ekstraklasa.org/player/729;33;729
Gerbowski Fryderyk;https://fantasy.ekstraklasa.org/player/1498;33;1498
Getinger Krystian;https://fantasy.ekstraklasa.org/player/1438;33;1438
Gjertsen Torgil;https://fantasy.ekstraklasa.org/player/1344;33;1344
