player,link
Ennali Lawrence,https://fantasy.ekstraklasa.org/player/2203
Eppel Márton,https://fantasy.ekstraklasa.org/player/2296
Esselink Bert,https://fantasy.ekstraklasa.org/player/2220
Expósito Erik,https://fantasy.ekstraklasa.org/player/1276
Fase Anton,https://fantasy.ekstraklasa.org/player/2278
Feliks Michał,https://fantasy.ekstraklasa.org/player/1927
Firlej Maciej,https://fantasy.ekstraklasa.org/player/2153
Flis Marcin,https://fantasy.ekstraklasa.org/player/239
Forenc Konrad,https://fantasy.ekstraklasa.org/player/381
Fornalczyk Mariusz,https://fantasy.ekstraklasa.org/player/1529
Foszmańczyk Tomasz,https://fantasy.ekstraklasa.org/player/2144
Frelek Dominik,https://fantasy.ekstraklasa.org/player/1530
Félix Garcia Jorge,https://fantasy.ekstraklasa.org/player/1010
Gajgier Aleksander,https://fantasy.ekstraklasa.org/player/1984
Gamboa João,https://fantasy.ekstraklasa.org/player/2192
Gandziarowski Maksymilian,https://fantasy.ekstraklasa.org/player/2260
Gaprindaszwili Tornike,https://fantasy.ekstraklasa.org/player/2021
García Víctor,https://fantasy.ekstraklasa.org/player/1733
Gałązka Szymon,https://fantasy.ekstraklasa.org/player/2207
Gerstenstein Łukasz,https://fantasy.ekstraklasa.org/player/2119
Getinger Krystian,https://fantasy.ekstraklasa.org/player/1438
Ghiță Virgil,https://fantasy.ekstraklasa.org/player/1886
Gholizadeh Ali,https://fantasy.ekstraklasa.org/player/2234
Gil Filip,https://fantasy.ekstraklasa.org/player/2158
Glapka Grzegorz,https://fantasy.ekstraklasa.org/player/2185
Glik Kamil,https://fantasy.ekstraklasa.org/player/2283
Godinho Marcus,https://fantasy.ekstraklasa.org/player/2085
Gonçalves do Nascimento Ricardo,https://fantasy.ekstraklasa.org/player/2247
Gorgon Alexander,https://fantasy.ekstraklasa.org/player/1486
Grobelny Jędrzej,https://fantasy.ekstraklasa.org/player/1459
Grosicki Kamil,https://fantasy.ekstraklasa.org/player/1794
Gruszecki Piotr,https://fantasy.ekstraklasa.org/player/2159
Gryszkiewicz Adrian,https://fantasy.ekstraklasa.org/player/844
Grzesik Jan,https://fantasy.ekstraklasa.org/player/1225
Grzybek Mateusz,https://fantasy.ekstraklasa.org/player/827
Gual Marc,https://fantasy.ekstraklasa.org/player/1898
