round;team;team_abr;home_away;score;result
8;KGHM Zaglebie Lubin;ZAG;H;01:01;D
8;Lechia Gdansk;LGD;A;01:01;D
8;Wisla Krakow;WIS;H;03:00;W
8;Podbeskidzie Bielsko-Biala;POD;A;00:03;L
8;Slask Wroclaw;SLA;H;01:00;W
8;Jagiellonia Bialystok;JAG;A;00:01;L
8;Pogon Szczecin;POG;H;00:00;D
8;Legia Warszawa;LEG;A;00:00;D
8;Rakow Czestochowa;RCZ;H;02:01;W
8;PGE FKS Stal Mielec;STM;A;01:02;L
8;Lech Poznan;LPO;H;01:01;D
8;Cracovia;CRA;A;01:01;D
8;Warta Poznan;WAR;H;00:01;L
8;Gornik Zabrze;GOR;A;01:00;W
9;PGE FKS Stal Mielec;STM;H;00:01;L
9;Warta Poznan;WAR;A;01:00;W
9;Cracovia;CRA;H;03:01;W
9;Jagiellonia Bialystok;JAG;A;01:03;L
9;Legia Warszawa;LEG;H;02:01;W
9;Lech Poznan;LPO;A;01:02;L
9;Rakow Czestochowa;RCZ;H;00:00;D
9;Wisla Krakow;WIS;A;00:00;D
9;Lechia Gdansk;LGD;H;03:02;W
9;Slask Wroclaw;SLA;A;02:03;L
9;Gornik Zabrze;GOR;H;01:02;L
9;Piast Gliwice;PIA;A;02:01;W
9;Podbeskidzie Bielsko-Biala;POD;H;02:01;W
9;KGHM Zaglebie Lubin;ZAG;A;01:02;L
9;Wisla Plock;WPL;H;00:00;D
9;Pogon Szczecin;POG;A;00:00;D
10;Slask Wroclaw;SLA;H;00:00;D
10;Gornik Zabrze;GOR;A;00:00;D
10;Pogon Szczecin;POG;H;01:01;D
10;Podbeskidzie Bielsko-Biala;POD;A;01:01;D
10;KGHM Zaglebie Lubin;ZAG;H;02:02;D
10;PGE FKS Stal Mielec;STM;A;02:02;D
10;Warta Poznan;WAR;H;02:01;W
10;Wisla Krakow;WIS;A;01:02;L
10;Lech Poznan;LPO;H;03:03;D
10;Rakow Czestochowa;RCZ;A;03:03;D
10;Cracovia;CRA;H;00:01;L
10;Legia Warszawa;LEG;A;01:00;W
10;Piast Gliwice;PIA;H;02:00;W
10;Lechia Gdansk;LGD;A;00:02;L
