id,name,position,club,value,points,season
1008,Mateusz Holownia,2,4,1.7,24,2019/20 - wiosna
1138,Lukas Hrosso,1,1,1.7,12,2019/20 - wiosna
1241,Tomas Huk,2,7,1.7,11,2019/20 - wiosna
382,Dominik Hladun,1,16,2.0,27,2019/20 - wiosna
1333,Dejan Iliev,1,3,1.6,12,2019/20 - wiosna
765,Jesus Imaz,4,3,2.2,33,2019/20 - wiosna
1183,David Jablonsky,2,1,1.8,24,2019/20 - wiosna
166,Rafal Janicki,2,14,1.8,52,2019/20 - wiosna
1192,Erik Janza,2,2,2.0,53,2019/20 - wiosna
987,Jesus Jimenez,3,2,3.0,87,2019/20 - wiosna
1332,Erik Jirka,3,2,2.3,65,2019/20 - wiosna
209,Tomasz Jodlowiec,3,7,1.8,44,2019/20 - wiosna
581,Dominik Jonczy,2,16,1.1,5,2019/20 - wiosna
147,Kamil Jozwiak,3,6,2.8,76,2019/20 - wiosna
535,Artur Jedrzejczyk,2,4,2.5,34,2019/20 - wiosna
1396,Mateusz Kaczmarek,3,10,0.5,1,2019/20 - wiosna
1107,Andrej Kadlec,2,3,1.9,39,2019/20 - wiosna
1346,Dominik Kalinowski,1,16,0.5,0,2019/20 - wiosna
1210,Jakub Kaminski,3,6,2.2,63,2019/20 - wiosna
1358,Krzysztof Kaminski,1,15,1.7,31,2019/20 - wiosna
469,Jose Kante,4,4,2.5,34,2019/20 - wiosna
1394,Przemyslaw Kapek,4,1,0.5,0,2019/20 - wiosna
1143,Michal Karbownik,2,4,2.7,62,2019/20 - wiosna
1382,Jakub Kaluzinski,3,5,0.8,8,2019/20 - wiosna
847,Mikkel Kirkeskov,2,7,2.0,60,2019/20 - wiosna
994,Lukas Klemenz,2,14,1.7,39,2019/20 - wiosna
846,Tymoteusz Klups,4,6,1.7,3,2019/20 - wiosna
1294,Rafal Kobryn,2,5,1.6,14,2019/20 - wiosna
1384,Mateusz Kochalski,1,4,0.7,0,2019/20 - wiosna
1345,Dawid Kocyla,4,15,1.6,31,2019/20 - wiosna
285,Michal Koj,2,2,1.6,20,2019/20 - wiosna
286,Martin Konczkowski,3,7,1.8,50,2019/20 - wiosna
640,Bartosz Kopacz,2,5,1.9,41,2019/20 - wiosna
210,Michal Kopczynski,3,13,1.6,23,2019/20 - wiosna
524,Wolodymyr Kostewycz,2,6,2.1,34,2019/20 - wiosna
1218,Kacper Kostorz,3,4,1.5,0,2019/20 - wiosna
1385,Grzegorz Kotowicz,3,11,0.5,0,2019/20 - wiosna
580,Sebastian Kowalczyk,3,9,1.9,42,2019/20 - wiosna
277,Kacper Kozlowski,3,9,0.8,2,2019/20 - wiosna
1321,Kamil Koscielny,2,12,1.7,30,2019/20 - wiosna
730,Martin Kostal,3,3,1.7,3,2019/20 - wiosna
1193,Piotr Krawczyk,4,2,1.2,24,2019/20 - wiosna
1393,Kamil Kruk,2,16,0.5,4,2019/20 - wiosna
1366,Egzon Kryeziu,3,5,1.5,6,2019/20 - wiosna
1248,Dariusz Krzysztofek,1,9,0.7,0,2019/20 - wiosna
1257,Oskar Krzyzak,2,10,0.5,0,2019/20 - wiosna
1118,Patryk Krolczyk,1,7,0.8,0,2019/20 - wiosna
395,Jaroslaw Kubicki,3,5,1.7,23,2019/20 - wiosna
558,Dusan Kuciak,1,5,2.1,42,2019/20 - wiosna
948,Dawid Kudla,1,2,1.4,0,2019/20 - wiosna
701,Patryk Kun,3,10,1.7,19,2019/20 - wiosna
1342,Nikola Kuveljic,3,14,1.4,21,2019/20 - wiosna
1373,Ben Lederman,3,10,0.7,10,2019/20 - wiosna
200,Igor Lewczuk,2,4,2.2,39,2019/20 - wiosna
293,Patryk Lipski,3,7,1.7,17,2019/20 - wiosna
1026,Mateusz Lis,1,14,1.7,22,2019/20 - wiosna
278,Marcin Listkowski,3,9,1.8,41,2019/20 - wiosna
1189,Rafael Lopes,4,4,2.3,59,2019/20 - wiosna
1330,Florian Loshaj,3,1,1.9,29,2019/20 - wiosna
1285,Lucas Luquinhas,3,4,2.6,58,2019/20 - wiosna
757,Sylwester Lusiusz,3,1,1.7,18,2019/20 - wiosna
1190,Ruben Lopez Huesca,4,1,1.7,0,2019/20 - wiosna
4,Filip Majchrowicz,1,1,0.5,0,2019/20 - wiosna
