player,link
Dziekoński Xavier,https://fantasy.ekstraklasa.org/player/1400
Dziwniel Daniel,https://fantasy.ekstraklasa.org/player/386
Dąbrowski Damian,https://fantasy.ekstraklasa.org/player/20
Długosz Wiktor,https://fantasy.ekstraklasa.org/player/860
Emreli Mehir,https://fantasy.ekstraklasa.org/player/1725
Expósito Erik,https://fantasy.ekstraklasa.org/player/1276
Fazlagić Enis,https://fantasy.ekstraklasa.org/player/1848
Fernández Luis,https://fantasy.ekstraklasa.org/player/1838
Ferreira Júnior Rivaldo,https://fantasy.ekstraklasa.org/player/1518
Ferreira Vinícius,https://fantasy.ekstraklasa.org/player/1083
Fiedosewicz Nikodem,https://fantasy.ekstraklasa.org/player/1458
Flis Marcin,https://fantasy.ekstraklasa.org/player/239
Fornalczyk Mariusz,https://fantasy.ekstraklasa.org/player/1529
Frydrych Michal,https://fantasy.ekstraklasa.org/player/1549
Furman Dominik,https://fantasy.ekstraklasa.org/player/450
Gajos Maciej,https://fantasy.ekstraklasa.org/player/145
Galara Eryk,https://fantasy.ekstraklasa.org/player/1726
García Víctor,https://fantasy.ekstraklasa.org/player/1733
Gendera Maksym,https://fantasy.ekstraklasa.org/player/1605
Gerbowski Fryderyk,https://fantasy.ekstraklasa.org/player/1498
Gergel Roman,https://fantasy.ekstraklasa.org/player/503
Gerson Gerson,https://fantasy.ekstraklasa.org/player/784
Getinger Krystian,https://fantasy.ekstraklasa.org/player/1438
Ghiță Virgil,https://fantasy.ekstraklasa.org/player/1886
Gol Janusz,https://fantasy.ekstraklasa.org/player/1078
Goliński Michał,https://fantasy.ekstraklasa.org/player/1668
Golla Wojciech,https://fantasy.ekstraklasa.org/player/1019
Gorgon Alexander,https://fantasy.ekstraklasa.org/player/1486
Gostomski Maciej,https://fantasy.ekstraklasa.org/player/96
Grabowski Marcin,https://fantasy.ekstraklasa.org/player/1024
Gradecki Bartłomiej,https://fantasy.ekstraklasa.org/player/1509
Granlund Albin,https://fantasy.ekstraklasa.org/player/1585
Grigorjan Narek,https://fantasy.ekstraklasa.org/player/1888
Grobelny Jędrzej,https://fantasy.ekstraklasa.org/player/1459
Grosicki Kamil,https://fantasy.ekstraklasa.org/player/1794
Grudziński Mateusz,https://fantasy.ekstraklasa.org/player/1409
Gruszkowski Konrad,https://fantasy.ekstraklasa.org/player/1528
Gryglak Filip,https://fantasy.ekstraklasa.org/player/1826
Gryszkiewicz Adrian,https://fantasy.ekstraklasa.org/player/844
Grzesik Jan,https://fantasy.ekstraklasa.org/player/1225
Grzybek Mateusz,https://fantasy.ekstraklasa.org/player/827
Grétarsson Daníel,https://fantasy.ekstraklasa.org/player/1852
Gual Marc,https://fantasy.ekstraklasa.org/player/1898
Guca Konrad,https://fantasy.ekstraklasa.org/player/1816
Gustavo Luiz,https://fantasy.ekstraklasa.org/player/1879
Gut Jakub,https://fantasy.ekstraklasa.org/player/1536
Gutkovskis Vladislavs,https://fantasy.ekstraklasa.org/player/346
Gwilia Walerian,https://fantasy.ekstraklasa.org/player/1106
Góralczyk Jakub,https://fantasy.ekstraklasa.org/player/1568
Gąska Damian,https://fantasy.ekstraklasa.org/player/1018
Głogowski Kamil,https://fantasy.ekstraklasa.org/player/1746
Hanca Sergiu,https://fantasy.ekstraklasa.org/player/1103
Hanousek Matěj,https://fantasy.ekstraklasa.org/player/1741
Hateley Thomas,https://fantasy.ekstraklasa.org/player/802
Haydary Omran,https://fantasy.ekstraklasa.org/player/1365
Hinokio Koki,https://fantasy.ekstraklasa.org/player/1751
Holúbek Jakub,https://fantasy.ekstraklasa.org/player/1243
Hołownia Mateusz,https://fantasy.ekstraklasa.org/player/1008
Hrosu Arsen,https://fantasy.ekstraklasa.org/player/1775
Hroššo Lukáš,https://fantasy.ekstraklasa.org/player/1138
Hubínek Michal,https://fantasy.ekstraklasa.org/player/1646
Hugi Dor,https://fantasy.ekstraklasa.org/player/1742
Huk Tomáš,https://fantasy.ekstraklasa.org/player/1241
Hybš Matěj,https://fantasy.ekstraklasa.org/player/1841
Hyjek Javier Ajenjo,https://fantasy.ekstraklasa.org/player/1481
Hyla Oliwier,https://fantasy.ekstraklasa.org/player/1827
Hładun Dominik,https://fantasy.ekstraklasa.org/player/382
Imaz Jesús,https://fantasy.ekstraklasa.org/player/765
Ishak Mikael,https://fantasy.ekstraklasa.org/player/1475
Iskra Jakub,https://fantasy.ekstraklasa.org/player/1802
Ivanov Robert,https://fantasy.ekstraklasa.org/player/1535
Jablonský David,https://fantasy.ekstraklasa.org/player/1183
Jagiełło Aleksander,https://fantasy.ekstraklasa.org/player/683
Jakubik Damian,https://fantasy.ekstraklasa.org/player/37
Jakóbowski Michał,https://fantasy.ekstraklasa.org/player/1460
Janasik Patryk,https://fantasy.ekstraklasa.org/player/1491
Janczy Jakub,https://fantasy.ekstraklasa.org/player/1658
Janicki Rafał,https://fantasy.ekstraklasa.org/player/166
Janža Erik,https://fantasy.ekstraklasa.org/player/1192
Jastrzembski Dennis,https://fantasy.ekstraklasa.org/player/1850
Jimenez Jesus,https://fantasy.ekstraklasa.org/player/987
Jodłowiec Tomasz,https://fantasy.ekstraklasa.org/player/209
Johansson Mattias,https://fantasy.ekstraklasa.org/player/1717
Jorginho Jorge,https://fantasy.ekstraklasa.org/player/1801
Jovanović Vlastimir,https://fantasy.ekstraklasa.org/player/339
Jugas Jakub,https://fantasy.ekstraklasa.org/player/1696
Jędrzejczyk Artur,https://fantasy.ekstraklasa.org/player/535
Kaczmarski Iwo,https://fantasy.ekstraklasa.org/player/1378
Kakabadze Otar,https://fantasy.ekstraklasa.org/player/1697
Kalinkowski Bartłomiej,https://fantasy.ekstraklasa.org/player/1230
Kamiński Jakub,https://fantasy.ekstraklasa.org/player/1210
Kamiński Krzysztof,https://fantasy.ekstraklasa.org/player/1358
Kamiński Wiktor,https://fantasy.ekstraklasa.org/player/1763
Kanach Radosław,https://fantasy.ekstraklasa.org/player/22
Kapek Przemysław,https://fantasy.ekstraklasa.org/player/1394
