id,name,position,value,club,club_abr,club_prev,country,popularity,status,round,opponent,time,goals,assists,assists_lotto,own_goal,penalty,penalty_won,penalty_given,penalty_lost,penalty_defended,in_stat,yellow_card,red_card,points
698,Alan Czerwinski ,Obronca,"1,90",Lech Poznan,LPO,Zaglebie Lubin,Polska,(440) 1%,active,32,PIA,0,0,0,0,0,0,0,0,0,0,,0,0,0
698,Alan Czerwinski ,Obronca,"1,90",Lech Poznan,LPO,Zaglebie Lubin,Polska,(440) 1%,active,33,WAR,0,0,0,0,0,0,0,0,0,0,,0,0,0
698,Alan Czerwinski ,Obronca,"1,90",Lech Poznan,LPO,Zaglebie Lubin,Polska,(440) 1%,active,34,ZAG,0,0,0,0,0,0,0,0,0,0,,0,0,0
1247,Dante Stipica ,Bramkarz,"2,20",Pogon Szczecin,POG,CSKA Sofia,Chorwacja,(9393) 27%,active,20,PIA,94,0,0,0,0,0,0,0,0,0,                                                    0                                                ,0,0,6
1247,Dante Stipica ,Bramkarz,"2,20",Pogon Szczecin,POG,CSKA Sofia,Chorwacja,(9393) 27%,active,21,ZAG,95,0,0,0,0,0,0,0,0,0,                                                    0                                                ,0,0,3
1247,Dante Stipica ,Bramkarz,"2,20",Pogon Szczecin,POG,CSKA Sofia,Chorwacja,(9393) 27%,active,22,STM,97,0,0,0,0,0,0,0,0,0,                                                    0                                                ,0,0,6
1247,Dante Stipica ,Bramkarz,"2,20",Pogon Szczecin,POG,CSKA Sofia,Chorwacja,(9393) 27%,active,23,LPO,93,0,0,0,0,0,0,0,0,0,                                                    0                                                ,0,0,0
1247,Dante Stipica ,Bramkarz,"2,20",Pogon Szczecin,POG,CSKA Sofia,Chorwacja,(9393) 27%,active,24,RAD,90,0,0,0,0,0,0,0,0,0,,0,0,6
1247,Dante Stipica ,Bramkarz,"2,20",Pogon Szczecin,POG,CSKA Sofia,Chorwacja,(9393) 27%,active,25,CRA,90,0,0,0,0,0,0,0,0,0,,0,0,2
1247,Dante Stipica ,Bramkarz,"2,20",Pogon Szczecin,POG,CSKA Sofia,Chorwacja,(9393) 27%,active,26,WIS,90,0,0,0,0,0,0,0,0,0,,0,0,3
1247,Dante Stipica ,Bramkarz,"2,20",Pogon Szczecin,POG,CSKA Sofia,Chorwacja,(9393) 27%,active,27,GKL,90,0,0,0,0,0,0,0,0,0,,0,0,6
1247,Dante Stipica ,Bramkarz,"2,20",Pogon Szczecin,POG,CSKA Sofia,Chorwacja,(9393) 27%,active,28,WPL,90,0,0,0,0,0,0,0,0,0,,0,0,1
1247,Dante Stipica ,Bramkarz,"2,20",Pogon Szczecin,POG,CSKA Sofia,Chorwacja,(9393) 27%,active,29,RCZ,90,0,0,0,0,0,0,0,0,0,                                                    0                                                ,0,0,1
1247,Dante Stipica ,Bramkarz,"2,20",Pogon Szczecin,POG,CSKA Sofia,Chorwacja,(9393) 27%,active,29,JAG,90,0,0,0,0,0,0,0,0,0,                                                    0                                                ,0,0,3
1247,Dante Stipica ,Bramkarz,"2,20",Pogon Szczecin,POG,CSKA Sofia,Chorwacja,(9393) 27%,active,30,LEG,90,0,0,0,0,0,0,0,0,0,                                                    0                                                ,0,0,3
1247,Dante Stipica ,Bramkarz,"2,20",Pogon Szczecin,POG,CSKA Sofia,Chorwacja,(9393) 27%,active,32,SLA,0,0,0,0,0,0,0,0,0,0,,0,0,0
1247,Dante Stipica ,Bramkarz,"2,20",Pogon Szczecin,POG,CSKA Sofia,Chorwacja,(9393) 27%,active,33,LGD,0,0,0,0,0,0,0,0,0,0,,0,0,0
1247,Dante Stipica ,Bramkarz,"2,20",Pogon Szczecin,POG,CSKA Sofia,Chorwacja,(9393) 27%,active,34,BBT,0,0,0,0,0,0,0,0,0,0,,0,0,0
