id,name,position,club,value,points
3,Grzegorz Sandomierski ,1,4,1.8,7
5,Adam Wilk ,1,2,0.8,0
10,Kamil Pestka ,2,2,1.8,21
14,Jakub Wojcicki ,2,18,1.7,2
20,Damian Dabrowski ,3,11,2.0,26
22,Radoslaw Kanach ,3,2,0.9,0
23,Karol Niemczycki ,1,2,1.6,37
37,Damian Jakubik ,2,12,1.8,26
39,Messias Leandro ,2,3,1.7,28
45,Szymon Drewniak ,3,3,1.6,17
53,Bartosz Spiaczka ,4,3,2.0,32
57,Damian Weglarz ,1,17,1.6,0
63,Pawel Olszewski ,2,5,1.5,5
64,Kamil Pajnowski ,2,3,1.2,5
69,Piotr Tomasik ,2,17,1.8,26
71,Fedor Cernych ,3,5,2.0,20
79,Pawel Koncewicz-Zylka ,2,16,0.5,0
81,Przemyslaw Mystkowski ,3,5,1.6,21
86,Taras Romanczuk ,3,5,1.8,12
88,Dawid Szymonowicz ,2,15,1.7,30
96,Maciej Gostomski ,1,3,1.7,30
107,Bartosz Rymaniak ,2,3,1.7,25
128,Lukasz Sekulski ,4,17,2.0,29
130,Jasmin Buric ,1,18,1.8,0
133,Matus Putnocky ,1,14,1.7,7
145,Maciej Gajos ,3,7,1.9,15
154,Lukasz Tralka ,3,15,1.8,21
156,Dawid Kownacki ,4,6,2.6,17
159,Lukasz Budzilek ,1,1,1.5,0
163,Adam Chrzanowski ,2,17,1.7,3
166,Rafal Janicki ,2,4,1.8,20
167,Mario Maloca ,2,7,1.8,22
168,Pawel Stolarski ,2,11,1.7,7
171,Michal Chrapek ,3,10,1.9,36
172,Flavio Paixao ,4,7,2.4,38
179,Michal Mak ,3,3,1.7,4
184,Rafal Wolski ,3,17,1.8,19
201,Michal Pazdan ,2,5,1.7,17
202,Jakub Rzezniczak ,2,17,1.6,15
210,Michal Kopczynski ,3,15,1.6,20
211,Michal Kucharczyk ,3,11,2.4,32
224,Jakub Szmatula ,1,10,1.6,0
231,Tomasz Mokwa ,2,10,1.5,0
239,Marcin Flis ,2,9,1.6,23
244,Radoslaw Murawski ,3,6,1.8,16
245,Igor Sapala ,3,13,1.8,0
248,Sasa Zivec ,3,18,1.9,18
256,Jakub Czerwinski ,2,10,2.0,30
260,Hubert Matynia ,2,11,1.8,1
269,Kamil Drygas ,3,11,2.0,4
271,Dawid Kort ,3,9,1.6,11
272,Mateusz Matras ,2,9,1.8,19
279,Lukasz Zwolinski ,4,7,2.0,19
282,Gonçalo Silva ,2,12,1.7,2
286,Martin Konczkowski ,2,10,1.9,32
289,Przemyslaw Bargiel ,3,14,0.8,0
299,Maciej Urbanczyk ,3,9,1.5,14
322,Robert Pich ,3,14,2.1,18
339,Vlastimir Jovanovic ,3,1,1.3,1
340,Mateusz Kupczak ,3,15,1.8,20
344,Samuel Stefanik ,3,1,1.8,20
346,Vladislavs Gutkovskis ,4,13,2.1,29
351,Michal Buchalik ,1,7,1.6,0
351,Michal Buchalik ,1,16,1.6,0
361,Rafal Pietrzak ,2,7,1.8,8
362,Maciej Sadlok ,2,16,1.8,8
371,Krzysztof Maczynski ,3,14,2.0,11
378,Zdeněk Ondrasek ,4,16,1.9,6
382,Dominik Hladun ,1,18,1.7,8
386,Daniel Dziwniel ,2,3,1.6,11
391,Damian Zbozien ,2,17,1.6,5
395,Jaroslaw Kubicki ,3,7,1.8,19
404,Pawel Zyra ,3,1,1.4,0
412,Pavels Steinbors ,1,5,1.7,6
429,Michal Nalepa ,2,5,1.8,14
429,Michal Nalepa ,3,5,1.8,14
431,Mateusz Szwoch ,3,17,2.0,29
432,Grzegorz Tomasiewicz ,3,9,2.1,38
450,Dominik Furman ,3,17,1.9,4
461,Piotr Wlazlo ,3,1,1.8,37
480,Bartosz Nowak ,3,4,2.1,47
491,Mateusz Wieteska ,2,8,1.9,25
503,Roman Gergel ,3,1,1.8,8
508,Cornel Rapa ,2,2,1.9,44
514,Lukasz Bejger ,2,14,1.6,8
531,Jakub Zubrowski ,3,18,1.7,18
553,Jakub Bartkowski ,2,11,2.0,31
558,Dusan Kuciak ,1,7,1.9,24
563,Marcin Wasielewski ,2,1,1.6,6
574,Bartosz Slisz ,3,8,1.8,15
580,Sebastian Kowalczyk ,3,11,2.3,43
583,Adrian Lyszczarz ,3,14,1.5,19
625,Filip Piszczek ,4,2,1.6,12
625,Filip Piszczek ,4,5,1.6,2
633,Mateusz Wdowiak ,3,13,2.0,59
640,Bartosz Kopacz ,2,7,1.8,11
640,Bartosz Kopacz ,2,18,1.8,6
645,Rafal Kurzawa ,3,11,1.8,15
653,Dariusz Pawlowski ,2,4,1.4,10
664,Maciej Ambrosiewicz ,3,1,1.6,2
670,Meik Karwot ,2,12,1.6,13
672,Tomasz Loska ,1,1,1.6,13
681,Michal Nalepa ,2,7,1.8,19
681,Michal Nalepa ,3,7,1.8,19
692,Zoran Arsenic ,2,13,1.8,43
698,Alan Czerwinski ,2,6,1.9,8
701,Patryk Kun ,3,13,1.8,39
705,Damian Rasak ,3,17,1.8,31
712,Jakub Bursztyn ,1,11,1.5,0
713,Martin Pospisil ,3,5,1.8,25
714,Damian Kadzior ,3,10,2.5,37
720,Michal Siplak ,2,2,1.6,36
722,Karol Angielski ,4,12,2.3,48
723,Igor Lasicki ,2,11,1.6,5
724,Zlatan Alomerovic ,1,5,1.8,9
724,Zlatan Alomerovic ,1,7,1.8,0
733,Daniel Lukasik ,3,12,2.0,2
743,Sebastian Bonecki ,3,1,1.5,9
755,Patryk Tuszynski ,4,17,1.8,12
757,Sylwester Lusiusz ,3,2,1.4,19
763,Marko Kolar ,4,17,1.8,11
774,Sebastian Bergier ,4,14,1.0,2
784,Gerson Gerson ,2,3,1.8,12
786,Filip Mladenovic ,2,8,2.4,16
790,Frantisek Plach ,1,10,2.0,28
