id,name,position,club,value,points,status
1106,Walerian Gwilia,3,4,2.5,0,active
1568,Jakub Goralczyk,2,1,0.5,0,active
1018,Damian Gaska,3,11,1.6,0,out of club
807,Wojciech Hajda,3,2,0.5,0,active
1588,Tim Hall,2,14,1.8,0,active
1103,Sergiu Hanca,3,1,2.2,0,active
208,Konrad Handzlik,3,13,0.5,0,active
1365,Omran Haydary,4,5,1.9,0,active
1590,Dominik Holec,1,10,1.9,0,active
1243,Jakub Holubek,2,7,1.7,0,active
1584,Jakub Hora,3,8,1.6,0,active
1095,Santeri Hostikka,3,9,1.6,0,active
1170,Daniel Hoyo-Kowalski,2,14,1.0,0,active
1008,Mateusz Holownia,2,4,1.7,0,active
1138,Lukas Hrosso,1,1,1.7,0,active
1241,Tomas Huk,2,7,1.7,0,active
1481,Javier Ajenjo Hyjek,3,7,1.7,0,active
382,Dominik Hladun,1,16,2.0,0,active
765,Jesus Imaz,3,3,3.1,0,active
1475,Mikael Ishak,4,6,4.0,0,active
1535,Robert Ivanov,2,13,1.7,0,active
388,Jaroslaw Jach,2,10,1.8,0,active
1460,Michal Jakobowski,3,13,1.7,0,active
1491,Patryk Janasik,3,11,1.4,0,active
166,Rafal Janicki,2,8,1.7,0,active
1461,Robert Janicki,3,13,1.8,0,active
240,Maciej Jankowski,3,12,1.7,0,active
1192,Erik Janza,2,2,2.1,0,active
1415,Bartosz Jaroch,2,8,1.7,0,out of club
1466,Gracjan Jaroch,4,13,1.7,0,active
1562,Jakub Jesionek,1,3,0.5,0,active
987,Jesus Jimenez,4,2,3.8,0,active
209,Tomasz Jodlowiec,3,7,1.8,0,active
581,Dominik Jonczy,2,16,1.8,0,active
1479,Josip Juranovic,2,4,2.6,0,active
535,Artur Jedrzejczyk,2,4,2.4,0,suspended
636,Nika Kaczarawa,4,6,1.8,0,active
1378,Iwo Kaczmarski,3,10,0.9,0,active
1107,Andrej Kadlec,2,3,1.5,0,active
1185,Bartlomiej Kafel,3,1,0.5,0,active
1346,Dominik Kalinowski,1,16,0.5,0,active
1210,Jakub Kaminski,3,6,2.2,0,active
1358,Krzysztof Kaminski,1,15,1.7,0,active
22,Radoslaw Kanach,3,1,0.9,0,active
469,Jose Kante,4,4,2.0,0,active
1394,Przemyslaw Kapek,4,1,0.5,0,active
1521,Bartosz Kapustka,3,4,2.7,0,active
1575,Jakub Karbownik,3,6,0.6,0,active
1576,Jesper Karlstrom,3,6,2.2,0,active
1382,Jakub Kaluzinski,3,5,1.0,0,active
