id,name,position,club,value,points,status
1078,Janusz Gol,3,Gornik Leczna,1.8,0,active
1668,Michal Golinski,3,Gornik Leczna,1.0,0,active
1019,Wojciech Golla,2,11,1.8,0,active
1486,Alexander Gorgon,3,9,2.0,0,active
1377,Hubert Gostomski,1,3,1.0,0,out of club
96,Maciej Gostomski,1,Gornik Leczna,1.6,0,active
1024,Marcin Grabowski,2,Bruk-Bet Termalica Nieciecza,1.5,0,active
1509,Bartlomiej Gradecki,1,15,0.7,0,active
1585,Albin Granlund,2,12,1.7,0,active
1459,Jedrzej Grobelny,1,13,0.7,0,active
1409,Mateusz Grudzinski,3,Radomiak Radom,0.8,0,active
1528,Konrad Gruszkowski,2,14,1.2,0,active
844,Adrian Gryszkiewicz,2,2,1.7,0,uncertain
1225,Jan Grzesik,2,13,2.2,0,active
827,Mateusz Grzybek,2,Bruk-Bet Termalica Nieciecza,1.6,0,active
1536,Jakub Gut,3,1,0.5,0,active
346,Vladislavs Gutkovskis,4,10,2.2,0,active
1568,Jakub Goralczyk,2,1,0.5,0,active
1018,Damian Gaska,3,11,1.7,0,active
1746,Kamil Glogowski,2,14,0.5,0,active
807,Wojciech Hajda,3,2,1.2,0,active
1103,Sergiu Hanca,3,1,2.0,0,active
1741,Matěj Hanousek,2,14,1.9,0,active
1365,Omran Haydary,3,5,1.8,0,active
1751,Koki Hinokio,3,16,1.7,0,active
198,Adam Hlousek,2,Bruk-Bet Termalica Nieciecza,1.8,0,active
1243,Jakub Holubek,2,7,1.8,0,active
1095,Santeri Hostikka,3,9,1.5,0,active
1170,Daniel Hoyo-Kowalski,2,14,1.0,0,out of club
1008,Mateusz Holownia,2,4,1.9,0,active
1775,Arsen Hrosu,3,2,0.7,0,active
1138,Lukas Hrosso,1,1,1.6,0,active
1646,Michal Hubinek,3,Bruk-Bet Termalica Nieciecza,1.6,0,active
1742,Dor Hugi,3,14,1.8,0,active
1241,Tomas Huk,2,7,1.8,0,active
1481,Javier Ajenjo Hyjek,3,11,1.5,0,active
382,Dominik Hladun,1,16,2.0,0,active
765,Jesus Imaz,3,3,2.4,0,active
1475,Mikael Ishak,4,6,3.5,0,active
1535,Robert Ivanov,2,13,1.8,0,active
683,Aleksander Jagiello,3,Gornik Leczna,1.4,0,active
37,Damian Jakubik,2,Radomiak Radom,1.6,0,active
1460,Michal Jakobowski,3,13,1.7,0,active
1491,Patryk Janasik,2,11,1.7,0,active
1658,Jakub Janczy,4,Bruk-Bet Termalica Nieciecza,0.5,0,active
1647,Kacper Janiak,3,Bruk-Bet Termalica Nieciecza,0.5,0,active
166,Rafal Janicki,2,2,1.8,0,active
240,Maciej Jankowski,3,12,1.7,0,active
1192,Erik Janza,2,2,1.9,0,active
1562,Jakub Jesionek,1,3,0.5,0,active
987,Jesus Jimenez,4,2,2.8,0,active
209,Tomasz Jodlowiec,3,7,1.7,0,active
1717,Mattias Johansson,2,4,2.2,0,active
339,Vlastimir Jovanovic,3,Bruk-Bet Termalica Nieciecza,1.6,0,active
1696,Jakub Jugas,2,1,2.1,0,active
1479,Josip Juranovic,2,4,3.7,0,active
1617,Aron Johannsson,4,6,2.0,0,active
535,Artur Jedrzejczyk,2,4,2.4,0,active
1378,Iwo Kaczmarski,3,10,0.9,0,active
1185,Bartlomiej Kafel,3,1,0.5,0,active
1697,Otar Kakabadze,2,1,1.9,0,active
1230,Bartlomiej Kalinkowski,3,Gornik Leczna,1.5,0,active
1210,Jakub Kaminski,3,6,2.1,0,active
1358,Krzysztof Kaminski,1,15,1.7,0,active
1763,Wiktor Kaminski,4,4,0.5,0,active
1244,Wojciech Kaminski,3,7,0.7,0,active
22,Radoslaw Kanach,3,1,0.9,0,active
469,Jose Kante,4,4,2.0,0,out of club
1394,Przemyslaw Kapek,4,1,0.5,0,active
1521,Bartosz Kapustka,3,4,2.9,0,injury
1681,Michal Kaput,3,Radomiak Radom,1.5,0,active
1575,Jakub Karbownik,3,6,0.5,0,active
1576,Jesper Karlstrom,3,6,2.0,0,active
1633,Hubert Karpinski,4,3,0.5,0,active
670,Meik Karwot,2,Radomiak Radom,1.6,0,active
1382,Jakub Kaluzinski,3,5,0.8,0,active
1452,Bartosz Kieliba,2,13,1.6,0,uncertain
1453,Jakub Kielb,2,13,1.9,0,active
1767,Gabriel Kirejczyk,4,7,0.5,0,active
1609,Jakub Kisiel,3,4,1.0,0,active
1602,Mateusz Kizyma,3,16,0.5,0,active
1722,Bartosz Klebaniuk,1,9,0.5,0,active
1643,Jan Klimek,2,Bruk-Bet Termalica Nieciecza,0.7,0,active
1743,Jan Kliment,4,14,1.9,0,active
846,Tymoteusz Klups,4,6,1.5,0,active
1698,Karol Knap,3,1,1.7,0,active
1384,Mateusz Kochalski,1,4,1.5,0,active
1345,Dawid Kocyla,3,15,1.8,0,active
763,Marko Kolar,4,15,1.9,0,active
687,Aleksandyr Kolew,4,12,1.7,0,active
286,Martin Konczkowski,2,7,1.8,0,active
1580,Patryk Konik,2,4,0.5,0,active
640,Bartosz Kopacz,2,5,1.9,0,active
210,Michal Kopczynski,3,13,1.6,0,active
1635,Filip Koperski,3,5,0.5,0,active
1218,Kacper Kostorz,4,4,1.8,0,active
1661,Adrian Kostrzewski,1,Gornik Leczna,1.2,0,active
1724,Vladan Kovacevic,1,10,2.0,0,active
580,Sebastian Kowalczyk,3,9,2.0,0,active
1682,Milosz Kozak,3,Radomiak Radom,1.6,0,active
1632,Antoni Kozubal,3,6,0.5,0,active
277,Kacper Kozlowski,3,9,2.1,0,active
1762,Damian Koltanski,3,6,0.5,0,active
1321,Kamil Koscielny,2,12,1.5,0,active
1445,Adam Kramarz,3,12,0.5,0,active
1193,Piotr Krawczyk,4,2,1.6,0,active
1764,Szymon Krocz,3,11,0.5,0,active
1393,Kamil Kruk,2,16,1.5,0,active
441,Mateusz Kryczka,1,Radomiak Radom,1.5,0,active
1366,Egzon Kryeziu,3,5,1.5,0,active
1669,Serhij Krykun,3,Gornik Leczna,1.6,0,active
1748,Anton Krywociuk,2,15,1.9,0,active
1248,Dariusz Krzysztofek,1,9,0.6,0,active
1257,Oskar Krzyzak,2,10,0.5,0,active
1750,Dawid Krzyzanski,3,15,0.5,0,active
1754,Michal Krol,2,Gornik Leczna,0.9,0,active
988,Krzysztof Kubica,3,2,1.4,0,active
395,Jaroslaw Kubicki,3,5,1.8,0,active
211,Michal Kucharczyk,3,9,2.8,0,active
558,Dusan Kuciak,1,5,2.1,0,active
1644,Bartlomiej Kukulowicz,2,Bruk-Bet Termalica Nieciecza,0.5,0,active
701,Patryk Kun,3,10,1.9,0,active
340,Mateusz Kupczak,3,13,1.8,0,active
645,Rafal Kurzawa,3,9,1.9,0,active
1648,Kamil Kuta,3,Bruk-Bet Termalica Nieciecza,0.5,0,active
1342,Nikola Kuveljic,3,14,1.4,0,active
1520,Mateusz Kuzimski,4,13,2.0,0,active
1601,Nika Kwekweskiri,3,6,1.8,0,active
115,Bartosz Kwiecien,2,3,1.7,0,uncertain
714,Damian Kadzior,3,7,2.7,0,active
1641,Dominik Kakolewski,1,Bruk-Bet Termalica Nieciecza,1.4,0,active
1727,Wiktor Klos,3,12,0.7,0,active
1771,Bartlomiej Kludka,2,16,0.6,0,active
1512,Dusan Lagator,3,15,1.7,0,active
1373,Ben Lederman,3,10,1.0,0,active
1772,Kacper Lepczynski,2,16,0.9,0,active
1500,Filip Lesniak,3,15,1.7,0,active
1501,Mateusz Lewandowski,4,15,1.4,0,active
1550,Szymon Lewkot,3,11,0.8,0,active
293,Patryk Lipski,3,7,1.7,0,active
1450,Adrian Lis,1,13,2.0,0,active
1026,Mateusz Lis,1,14,1.8,0,active
1189,Rafael Lopes,4,4,2.0,0,active
1330,Florian Loshaj,3,1,1.7,0,active
672,Tomasz Loska,1,Bruk-Bet Termalica Nieciecza,1.6,0,active
1285,Lucas Luquinhas,3,4,3.4,0,active
757,Sylwester Lusiusz,3,1,1.4,0,active
1539,Ivan Lopez,3,10,2.7,0,active
1582,Jehor Macenko,3,4,0.8,0,active
1683,Luis Machado,3,Radomiak Radom,1.4,0,active
1564,Przemyslaw Maj,3,12,0.5,0,active
1675,Filip Majchrowicz,1,Radomiak Radom,0.5,0,active
1571,Jan Majsterek,2,3,0.5,0,active
243,Mateusz Mak,3,12,1.7,0,active
179,Michal Mak,3,Gornik Leczna,1.7,0,active
963,Rafal Makowski,3,11,1.6,0,active
1055,Tomasz Makowski,3,5,1.7,0,active
1015,Mariusz Malec,2,9,1.6,0,active
167,Mario Maloca,2,5,1.7,0,active
1300,Alasana Manneh,3,2,1.7,0,active
1094,Filip Marchwinski,3,6,1.8,0,active
1087,Andre Martins,3,4,2.2,0,active
1483,Luis Mata,2,9,2.0,0,active
780,Gabriel Matei,2,Gornik Leczna,1.7,0,out of club
272,Mateusz Matras,3,12,1.7,0,active
1756,Konrad Matuszewski,2,13,1.4,0,active
1649,Tomasz Matuszewski,3,Bruk-Bet Termalica Nieciecza,0.8,0,active
260,Hubert Matynia,2,9,1.8,0,active
1614,Milosz Matysik,2,3,0.5,0,active
1456,Filip Malek,2,13,0.5,0,active
1516,Adi Mehremic,2,14,1.5,0,active
1755,Muris Mesanovic,4,Bruk-Bet Termalica Nieciecza,1.9,0,active
1280,Damian Michalski,2,15,1.5,0,active
1037,Kacper Michalski,2,2,1.4,0,active
1665,Tomasz Midzierski,2,Gornik Leczna,1.4,0,active
1689,Patryk Mikita,4,Radomiak Radom,1.6,0,active
1573,Antonio Milic,2,6,1.8,0,active
1577,Eryk Mirus,1,5,0.5,0,active
1217,Cezary Miszta,1,4,1.6,0,injury
786,Filip Mladenovic,2,4,4.0,0,active
1206,Milosz Mleczko,1,6,1.0,0,active
1417,Filip Modelski,2,Bruk-Bet Termalica Nieciecza,1.5,0,active
231,Tomasz Mokwa,2,7,1.5,0,active
1386,Ariel Mosor,2,7,0.7,0,active
1757,Bartosz Mrozek,1,6,0.5,0,active
1700,Maciej Mrozik,3,1,0.5,0,active
1484,Bartlomiej Mruk,2,9,0.7,0,active
1212,Karlo Muhar,3,6,1.8,0,active
244,Radoslaw Murawski,3,6,2.2,0,active
1269,Sebastian Musiolik,4,10,1.9,0,active
1563,Mykola Musolitin,2,5,1.5,0,active
1137,Lubambo Musonda,3,11,1.7,0,active
1289,Wojciech Muzyk,1,4,1.0,0,active
1626,Ernest Muçi,4,4,1.8,0,active
1720,Miguel Munoz,2,7,1.9,0,active
81,Przemyslaw Mystkowski,3,3,1.6,0,active
1469,Jakub Myszor,3,1,0.5,0,active
1072,Ivan Marquez,2,1,1.8,0,out of club
371,Krzysztof Maczynski,3,11,2.0,0,active
1766,Jakub Madrzyk,1,10,0.5,0,active
1071,Mateusz Mlynski,3,14,1.5,0,active
681,Michal Nalepa,2,5,1.8,0,active
1680,Filipe Nascimento,3,Radomiak Radom,1.6,0,active
1597,Bojan Nastic,2,3,1.7,0,active
1630,Maik Nawrocki,2,4,1.8,0,active
23,Karol Niemczycki,1,1,1.8,0,active
1258,Andrzej Niewulis,2,10,2.0,0,active
1704,Blazej Niezgoda,1,3,1.0,0,active
1404,Nikodem Niski,2,4,0.5,0,out of club
1662,Jakub Nowaczek,1,Gornik Leczna,0.5,0,active
480,Bartosz Nowak,3,2,2.0,0,active
1684,Jakub Nowakowski,3,Radomiak Radom,0.5,0,active
1554,Milan Obradovic,2,15,1.6,0,active
1749,Michal Oczkowski,1,15,0.5,0,active
1699,Karol Ogorzaly,3,1,1.7,0,active
829,Damian Oko,2,16,1.6,0,active
63,Pawel Olszewski,2,3,1.5,0,uncertain
1622,Jakub Orpik,3,3,0.5,0,active
1650,Michal Orzechowski,3,Bruk-Bet Termalica Nieciecza,1.0,0,active
1002,Maciej Orlowski,2,Gornik Leczna,1.3,0,active
1541,Piotr Owczarek,3,10,0.5,0,active
985,Robert Ozog,3,1,0.5,0,active
1638,Norbert Paclawski,4,6,0.5,0,active
172,Flavio Paixao,4,5,2.5,0,active
64,Kamil Pajnowski,2,Gornik Leczna,1.2,0,active
831,Dawid Pakulski,3,16,1.5,0,active
1618,Krystian Palacz,2,6,0.5,0,active
1194,Aleksander Paluszek,2,2,1.4,0,out of club
1561,Szymon Pankiewicz,2,3,0.5,0,active
1514,Ioannis Papanikolaou,3,10,1.6,0,active
1011,Piotr Parzyszek,4,9,2.5,0,active
181,Bartlomiej Pawlowski,3,11,1.8,0,active
653,Dariusz Pawlowski,2,2,1.2,0,active
201,Michal Pazdan,2,3,2.1,0,active
321,Maciej Palaszewski,3,11,1.5,0,out of club
1651,Jakub Pek,3,Bruk-Bet Termalica Nieciecza,1.2,0,active
1362,Tomas Pekhart,4,4,4.4,0,active
1670,Pawel Perdun,3,Gornik Leczna,0.5,0,active
1712,Joel Pereira,2,6,2.1,0,active
1735,Josue Pesqueira,3,4,2.4,0,active
10,Kamil Pestka,2,1,1.6,0,active
1259,Tomas Petrasek,2,10,2.2,0,active
942,Fabian Piasecki,4,11,1.7,0,active
322,Robert Pich,3,11,2.1,0,active
1652,Daniel Pietraszkiewicz,3,Bruk-Bet Termalica Nieciecza,1.0,0,active
361,Rafal Pietrzak,2,5,2.0,0,active
1184,Mateusz Pienczak,2,1,0.5,0,active
1770,Tomasz Pienko,4,16,0.5,0,active
806,Daniel Pik,3,1,0.8,0,active
625,Filip Piszczek,4,1,1.6,0,active
790,Frantisek Plach,1,7,2.2,0,active
1043,Patryk Plewka,3,14,1.5,0,active
1112,Wiktor Plesnierowicz,2,13,0.7,0,injury
1627,Karol Podlinski,4,16,1.6,0,active
1702,Lukas Podolski,4,2,2.7,0,active
1690,Jakub Podsiadlo,4,Radomiak Radom,0.5,0,active
1091,Marko Poletanovic,3,10,1.7,0,active
769,Konrad Poprawa,2,11,1.0,0,active
1088,Lukasz Poreba,3,16,1.6,0,active
1639,Milan Posmyk,2,16,0.5,0,active
713,Martin Pospisil,3,3,1.9,0,active
1765,Patryk Prange,1,13,0.5,0,active
1136,Mateusz Praszelik,3,11,1.8,0,active
1287,Tomas Prikryl,3,3,1.8,0,active
1434,Damian Primel,1,12,1.2,0,active
