id,name,position,club,value,points
1367,Kenny Saief,3,5,1.8,25
1368,Mark Tamas,2,11,1.7,33
1369,Aleksander Pawlak,3,15,0.5,5
1370,Bohdan Butko,2,6,1.9,4
1372,Mateusz Mackowiak,2,11,1.0,0
1373,Ben Lederman,3,10,1.0,8
1374,Kristopher Vida,3,7,1.8,17
1375,Jewgienij Baszkirow,3,16,1.7,34
1376,Dejan Drazic,4,16,1.7,26
1377,Hubert Gostomski,1,3,1.0,0
1378,Iwo Kaczmarski,3,10,0.9,0
1383,Marcin Szpakowski,3,11,0.5,1
1385,Grzegorz Kotowicz,3,11,0.5,0
1386,Ariel Mosor,2,4,0.7,0
1388,Hubert Turski,4,9,0.9,1
1389,Filip Bednarek,1,6,2.1,36
1393,Kamil Kruk,2,16,0.5,9
1394,Przemyslaw Kapek,4,1,0.5,2
1400,Xavier Dziekonski,1,3,0.5,14
1402,Radoslaw Cielemecki,3,4,0.8,0
1405,Tomasz Bala,4,1,0.5,0
1406,Szymon Wlodarczyk,4,4,0.5,0
1409,Mateusz Grudzinski,3,4,0.5,0
1410,Arkadiusz Leszczynski,1,8,0.5,0
1411,Rafal Leszczynski,1,8,0.9,8
1412,Dmytro Baszlaj,2,8,1.6,4
1413,Michal Batelt,2,8,0.5,0
1414,Kacper Gach,2,8,1.6,8
1417,Filip Modelski,2,8,1.2,10
1419,Jakub Bieronski,3,8,1.2,11
1422,Gergo Kocsis,3,8,1.5,23
1424,Mateusz Marzec,3,8,1.3,24
1425,Michal Rzuchowski,3,8,1.8,31
1426,Konrad Sieracki,3,8,1.0,0
1427,Lukasz Sierpina,3,8,1.8,30
1428,Michal Studnicki,3,8,0.5,0
1429,Desley Ubbink,3,8,1.5,21
1432,Marko Roginic,4,8,1.6,22
1433,Mateusz Dudek,1,12,0.5,0
1434,Damian Primel,1,12,1.2,1
1435,Rafal Straczek,1,12,1.7,18
1438,Krystian Getinger,2,12,1.8,34
1439,Jan Kozlowski,2,12,1.2,0
1440,Wojciech Lisowski,2,12,1.6,2
1441,Lukasz Seweryn,2,12,1.0,1
1442,Adrian Skrzyniak,2,12,0.5,0
1443,Mateusz Chmielowiec,3,12,0.5,0
1444,Robert Dadok,3,12,1.4,19
1445,Adam Kramarz,3,12,0.5,0
1446,Andreja Prokic,3,12,1.6,35
1447,Szymon Stasik,3,12,1.5,4
1448,Bartosz Bajorek,4,12,0.5,0
1449,Kacper Sadlocha,4,12,1.0,1
1450,Adrian Lis,1,13,1.7,29
1453,Jakub Kielb,2,13,1.7,30
1454,Adrian Laskowski,2,13,1.3,15
1455,Aleks Lawniczak,2,13,1.5,19
1457,Mateusz Czyzycki,3,13,1.5,21
1458,Nikodem Fiedosewicz,3,13,1.2,0
1460,Michal Jakobowski,3,13,1.7,41
1461,Robert Janicki,3,13,1.8,25
1462,Jakub Kuzdra,2,13,1.5,33
1463,Dominik Smykowski,3,13,1.2,0
1464,Kajetan Szmyt,3,13,0.9,9
1465,Mateusz Wojciechowski,3,13,0.5,0
1466,Gracjan Jaroch,4,13,1.7,14
1468,Dorian Pitula,2,1,0.5,0
1469,Jakub Myszor,3,1,0.5,0
1470,Marcos Alvarez,4,1,1.8,25
1471,Kamil Lukoszek,4,2,0.5,0
1472,Alex Sobczyk,4,2,1.9,52
1475,Mikael Ishak,4,6,4.0,60
1476,Krzysztof Bakowski,1,6,0.7,0
1478,Artur Boruc,1,4,2.2,41
1479,Josip Juranovic,2,4,2.6,56
1480,Arkadiusz Pyrka,3,7,1.0,15
1481,Javier Ajenjo Hyjek,3,7,1.7,0
1482,Filip Balcewicz,2,9,0.5,0
1483,Luis Mata,2,9,1.7,10
1484,Bartlomiej Mruk,2,9,0.7,2
1485,Kacper Cichon,3,9,0.6,0
1486,Alexander Gorgon,3,9,2.2,59
1489,Branislav Pindroch,1,10,1.8,7
1490,Kacper Trelowski,1,10,0.5,0
1491,Patryk Janasik,3,11,1.4,9
1492,Waldemar Sobota,3,11,2.3,44
1493,Michal Szromnik,1,11,1.5,9
1494,Kacper Duda,3,14,0.5,0
1495,Stefan Savic,3,14,1.9,27
1496,Fatos Beciraj,4,14,1.8,12
1498,Fryderyk Gerbowski,3,15,0.5,0
1500,Filip Lesniak,3,15,1.7,38
1501,Mateusz Lewandowski,4,15,1.4,13
1502,Wojciech Szumilas,2,15,1.5,3
1503,Adrian Tokarski,1,15,0.5,0
1505,Mateusz Bartolewski,2,16,1.0,11
1506,Milan Rundic,2,8,1.6,7
1507,Lukasz Zjawinski,4,12,1.6,29
1508,Adrian Szczutowski,4,15,0.5,0
1509,Bartlomiej Gradecki,1,15,0.7,0
1512,Dusan Lagator,3,15,1.7,40
1513,Yaw Yeboah,3,14,1.9,49
1514,Ioannis Papanikolaou,3,10,1.7,9
1515,Maciej Bortniczuk,3,3,0.5,3
1517,Daniel Bielica,1,13,1.3,16
1518,Rivaldo Ferreira Junior,4,1,1.9,30
1520,Mateusz Kuzimski,4,13,2.0,53
1521,Bartosz Kapustka,3,4,2.7,35
1522,Samuel Mraz,4,16,1.9,36
1525,Maksymilian Sitek,3,8,1.4,24
1528,Konrad Gruszkowski,2,14,0.6,3
1529,Mariusz Fornalczyk,3,9,0.5,2
1530,Dominik Frelek,3,8,0.5,0
1532,Jan Sykora,3,6,2.0,17
1533,Marcel Zurek,3,10,0.5,0
1534,Giannis Massouras,2,2,1.6,38
1535,Robert Ivanov,2,13,1.7,22
1536,Jakub Gut,3,1,0.5,1
1537,Jakub Bednarczyk,3,16,1.5,10
1538,Kamil Bielikow,1,16,0.7,0
1539,Ivan Lopez,4,10,2.4,47
1540,Norbert Wojtuszek,3,2,0.5,11
1541,Piotr Owczarek,3,10,0.5,0
1543,Mohammad Awwad,4,6,1.9,1
1544,Marcel Zylla,3,11,1.7,22
1545,Matej Rodin,2,1,1.9,31
1546,Petar Mamic,2,8,1.8,5
1546,Petar Mamic,2,10,1.8,0
1547,Wasyl Krawec,2,6,2.0,22
1548,Mario Rodriguez,3,13,1.8,12
1549,Michal Frydrych,2,14,1.8,32
1550,Szymon Lewkot,3,11,0.5,1
1551,Fernan Ferreiroa,3,3,1.9,13
1552,Serhij Miakuszko,3,8,1.8,10
1553,Luka Zahovic,4,9,2.1,43
1554,Milan Obradovic,2,15,1.7,18
1555,Damir Sadikovic,3,1,1.8,23
1556,Konrad Gutowski,3,8,0.9,6
1557,Kris Twardek,3,3,1.6,12
1558,Stefanos Evangelou,2,2,1.8,14
1559,Julio Rodriguez,2,15,1.6,0
1560,Bozidar Czorbadzijski,2,12,1.8,11
1561,Szymon Pankiewicz,2,3,0.5,3
1562,Jakub Jesionek,1,3,0.5,0
1563,Mykola Musolitin,2,5,1.7,0
1564,Przemyslaw Maj,3,12,0.5,0
1566,Slawomir Chmiel,3,14,0.5,0
1567,Wiktor Szywacz,3,14,0.5,0
1568,Jakub Goralczyk,2,1,0.5,0
1569,Oskar Wojcik,2,1,0.5,0
1571,Jan Majsterek,2,3,0.5,0
